PHI	log10.PHI	Std.Error	log10.Std.Error	0.025	0.975	log10.0.025	log10.0.975
0.887637973	-0.058261622	1.17E-05	9.35E-06	0.684946043	1.089270974	-0.164343641	0.037135931
0.86716336	-0.066918194	1.12E-05	7.66E-06	0.661331262	1.069856633	-0.179580949	0.029325583
0.818009615	-0.092379734	1.13E-05	7.29E-06	0.604227672	1.02622348	-0.21879939	0.011241945
1.176326513	0.068411	9.89E-06	4.88E-06	1.014393065	1.358162458	0.006206263	0.132951719
1.199168205	0.07681746	1.00E-05	4.85E-06	1.02963707	1.386537981	0.01268417	0.141931768
2.046700478	0.309502572	1.97E-05	3.47E-06	1.866247381	2.497995478	0.270969211	0.397591647
0.986752748	-0.009130554	1.19E-05	5.51E-06	0.758732687	1.218880408	-0.119911206	0.085961093
1.738828659	0.238901004	1.29E-05	3.72E-06	1.580795956	2.051973953	0.198875816	0.312171844
1.415852308	0.147810519	1.68E-05	5.40E-06	1.11560025	1.753591193	0.047508603	0.243928356
1.339210987	0.125422999	9.41E-06	4.05E-06	1.194941728	1.533986206	0.077346727	0.185821454
1.047795057	0.017577179	1.08E-05	5.21E-06	0.851672117	1.250635621	-0.069727583	0.097130794
1.045639873	0.016848551	9.66E-06	5.34E-06	0.88025603	1.219264588	-0.055390991	0.08609796
1.064721704	0.024910828	9.65E-06	5.10E-06	0.892005712	1.241794967	-0.049632369	0.094049895
1.507690191	0.175100818	1.82E-05	5.32E-06	1.177496884	1.8772753	0.070959762	0.273527964
0.938032508	-0.030137284	7.84E-06	5.39E-06	0.802591102	1.06908722	-0.095505661	0.029013138
0.915413499	-0.040374517	7.63E-06	4.63E-06	0.783003325	1.047372227	-0.106236394	0.020101052
1.60292542	0.203263104	1.29E-05	4.19E-06	1.408145378	1.888643289	0.148647493	0.276149939
1.405297875	0.144658193	1.69E-05	5.20E-06	1.096357928	1.744032531	0.039952361	0.241554581
1.037929893	0.013749698	1.05E-05	4.74E-06	0.845056888	1.236276438	-0.073114054	0.092115592
1.289018154	0.107138723	1.45E-05	5.52E-06	1.031405814	1.573665395	0.013429575	0.196912393
1.105436325	0.042018816	9.04E-06	3.70E-06	0.941007442	1.28682051	-0.026406942	0.109517973
0.800846815	-0.101373382	1.04E-05	7.39E-06	0.602916681	0.988119064	-0.219742702	-0.005190722
0.898699701	-0.048739612	8.96E-06	4.67E-06	0.727146142	1.066390618	-0.138378299	0.027916313
0.893659294	-0.05152433	9.14E-06	5.17E-06	0.725051578	1.060917516	-0.139631098	0.025681617
0.652516186	-0.190207794	8.83E-06	6.92E-06	0.473445265	0.807085907	-0.324730223	-0.093080236
0.606318474	-0.223853782	9.64E-06	8.07E-06	0.409371296	0.781139976	-0.387882661	-0.107271136
0.925596118	-0.036588032	1.04E-05	5.27E-06	0.725867431	1.120865498	-0.139142705	0.049553501
0.863910854	-0.067265384	1.01E-05	6.24E-06	0.676440165	1.042017475	-0.169770617	0.017875002
1.299276471	0.1123413	8.51E-06	4.03E-06	1.175691023	1.465919585	0.070293202	0.166110141
1.605274916	0.202263191	1.93E-05	5.50E-06	1.269057888	2.007058666	0.103481433	0.302560066
1.123511076	0.048110045	1.15E-05	4.81E-06	0.910620108	1.339922439	-0.040662765	0.127079659
0.98434788	-0.009852766	1.06E-05	5.47E-06	0.784257957	1.178061978	-0.105541067	0.071168139
1.086334944	0.03027918	1.72E-05	7.15E-06	0.764397833	1.428716253	-0.116680562	0.154945981
0.870003521	-0.063470289	9.73E-06	5.28E-06	0.685362328	1.050590178	-0.164079784	0.021433336
1.546339035	0.184859797	2.21E-05	6.25E-06	1.153560477	2.006548202	0.062040367	0.302449586
1.756897449	0.243538842	1.36E-05	3.20E-06	1.582102301	2.104859406	0.199234562	0.323223084
1.819261074	0.258612633	1.47E-05	3.28E-06	1.634567831	2.179743908	0.213402946	0.338405472
1.498934627	0.17386286	1.39E-05	4.15E-06	1.255787419	1.781779599	0.098916127	0.250853982
1.472316265	0.165463567	1.51E-05	4.97E-06	1.211771767	1.781140521	0.083420829	0.250698184
1.386913776	0.139744714	1.33E-05	4.77E-06	1.155552013	1.648865544	0.062789498	0.217185243
1.426845908	0.153104484	1.12E-05	3.30E-06	1.249871415	1.661671505	0.096865336	0.220545136
1.413403273	0.148943841	1.12E-05	3.37E-06	1.229217327	1.654999136	0.089628673	0.218797757
1.055251956	0.018898768	1.44E-05	6.50E-06	0.788152861	1.335733812	-0.103389544	0.125719906
