Gene ID, 4-cell embryo, proliferating embryo, late cleavage stage embryo, gastrulating embryo, enclosing embryo, 3-fold embryo, elongating embryo, fully-elongated embryo, L1 larva, L2 larva, L2d-dauer molt, dauer larva, post dauer stage, L3 larva, L4 larva, newly molted young adult, adult
acr-20,0.3,1,0.8,0.6,0.4,1,0.3,4,5,2,4,4,6,0.9,0.9,0.5,0.3
acr-21,9,,0.1,0.4,0.3,3,0.4,6,1,1,0.1,0.3,0.4,7,0.1,10,2
lgc-11,1,,,0.8,2,2,1,3,0.1,1,1,0.3,,0.1,3,,2
acr-23,5,,0.4,2,0.3,3,4,0.1,0.8,0.6,4,0.4,,0.2,2,,0.1
act-1,28,176,118,129,59,305,149,337,41,316,452,94,73,409,247,186,129
act-2,461,2599,439,658,359,497,400,295,91,206,161,154,184,379,269,637,1007
act-3,35,228,187,144,43,418,207,441,79,452,460,117,65,789,194,158,125
act-4,28,441,2965,266,404,2088,2030,1999,1097,1368,2840,377,408,1928,1133,635,926
act-5,8,57,57,19,15,343,120,435,108,952,149,43,380,1335,589,839,362
acy-1,0.8,3,6,0.5,0.3,37,16,36,26,17,26,19,15,8,2,3,1
acy-2,12,0.5,0.6,0.9,3,0.2,0.1,0.1,2,3,1,1,0.4,0.3,0.1,3,5
acy-3,12,4,3,9,25,0.8,0.5,0.5,16,6,13,19,3,4,2,8,7
acy-4,0.2,0.3,3,0.4,0.5,3,4,4,4,3,7,5,6,3,1,3,2
add-1,0.1,1,2,0.9,0.3,8,4,9,11,10,3,4,4,8,3,4,2
add-2,7,13,12,16,7,21,16,17,12,10,102,95,77,10,4,8,6
adm-2,10,9,10,3,0.6,21,13,20,40,12,23,10,9,9,4,4,11
adm-4,10,6,5,3,1,6,6,6,3,7,4,4,4,7,2,6,8
adr-1,11,70,60,57,20,36,56,31,10,30,19,27,25,22,7,20,31
adr-2,38,75,61,72,45,40,60,30,20,17,23,30,30,22,10,44,41
ads-1,2,8,28,10,6,78,49,85,57,74,56,34,55,106,60,71,47
adt-1,1,2,1,2,16,0.2,1,0.6,8,3,2,3,0.6,3,0.4,0.3,0.4
adt-2,0.1,0.8,4,0.8,0.7,4,5,3,18,30,31,11,10,32,8,14,13
aex-1,1,0.5,0.2,2,0.5,3,0.2,3,6,1,1,6,2,1,0.6,0.4,0.1
aex-2,4,1,3,0.9,4,3,0.1,0.6,4,5,1,0.5,0.8,0.9,0.3,0.1,4
aex-3,0.7,3,13,0.7,0.5,31,23,29,27,7,13,13,12,5,1,2,2
aex-5,18,5,7,0.4,5,0.2,0.1,0.1,8,4,14,0.3,0.1,5,5,5,3
aex-6,0.3,4,2,2,1,15,3,30,25,17,21,14,13,12,6,5,4
age-1,26,14,10,5,1,15,12,12,25,11,12,12,9,8,3,16,27
ags-3,7,21,34,24,13,30,31,25,125,14,19,22,20,7,5,6,10
agt-1,3,8,22,14,8,14,25,42,16,20,14,18,27,12,23,30,18
agt-2,19,32,26,20,11,28,27,18,9,5,6,10,9,7,3,19,13
aha-1,9,24,52,29,18,67,67,47,36,18,21,18,19,12,5,7,9
ahr-1,0.3,2,9,1,1,15,14,9,10,4,4,5,3,0.8,0.6,0.5,0.3
aip-1,7,28,32,30,29,31,32,28,38,24,26,25,20,15,12,25,25
air-1,149,153,74,94,42,41,59,34,2,34,15,19,19,37,29,131,121
air-2,41,109,87,132,137,20,41,17,8,12,7,11,11,10,9,57,47
ajm-1,5,51,139,8,5,218,188,188,65,46,38,24,26,28,14,12,17
aka-1,37,22,42,17,4,37,45,32,22,26,29,33,33,26,9,71,56
akt-1,58,53,27,28,5,59,42,65,136,43,245,168,99,27,16,59,63
akt-2,2,7,8,5,2,14,11,24,79,16,44,34,25,10,3,5,6
alg-1,8,50,315,23,11,363,308,243,230,73,50,33,30,54,8,9,21
alg-2,52,144,130,113,35,64,101,49,44,23,15,8,12,18,5,9,57
alh-1,31,26,41,26,12,83,63,61,64,135,48,87,118,200,92,135,98
alh-2,,,,,,0.1,,,,,,,,,,,
alh-3,4,12,58,7,6,137,113,92,24,68,34,27,39,85,20,38,26
alh-4,20,43,37,36,16,52,44,47,88,67,79,53,47,79,28,61,73
alh-5,0.2,1,11,3,2,5,12,5,28,13,11,5,17,11,6,4,3
alh-6,7,13,15,9,6,27,20,23,24,32,43,34,33,66,28,49,31
alh-7,11,15,8,11,7,10,8,9,12,19,19,16,27,15,11,12,19
alh-8,40,91,165,120,111,76,155,105,2467,480,154,1048,654,471,351,289,483
alh-9,11,41,72,55,55,47,62,28,15,81,101,58,87,180,39,125,73
alh-10,0.9,4,30,8,5,15,37,10,7,13,4,4,10,15,6,12,8
alh-11,5,6,12,5,3,9,15,10,19,16,7,10,12,24,9,16,15
alh-12,1,17,14,29,18,11,8,19,65,62,27,36,21,88,45,57,25
aly-1,12,187,237,417,204,120,175,76,20,33,19,19,22,21,11,12,39
aly-2,294,509,96,233,76,67,65,63,14,42,33,50,42,56,42,166,245
aly-3,75,170,157,294,129,85,137,83,87,56,34,53,48,50,32,61,82
ama-1,70,115,67,78,12,42,54,44,46,38,38,31,47,31,8,31,98
amt-1,0.6,,,,,44,2,,0.8,0.3,12,11,,0.4,0.1,,0.9
amt-2,1,,0.1,3,0.6,2,0.3,3,3,0.5,0.1,2,0.3,0.1,4,0.4,0.2
amt-3,15,2,0.3,9,0.2,3,0.3,0.6,1,0.8,0.3,2,0.7,10,0.1,0.7,0.1
amt-4,8,0.1,21,1,12,0.1,0.3,0.1,39,2,53,2,0.2,14,11,20,4
amx-1,10,26,32,16,6,18,31,12,4,7,6,5,6,5,2,5,7
amx-2,0.2,2,9,0.9,2,2,8,12,20,16,18,11,11,17,9,9,6
amx-3,5,3,1,4,9,2,6,3,8,2,0.5,3,0.1,4,13,0.7,2
anc-1,2,2,8,0.5,0.5,9,10,11,12,12,8,8,11,6,2,5,3
