Gene ID, 4-cell embryo, proliferating embryo, late cleavage stage embryo, gastrulating embryo, enclosing embryo, 3-fold embryo, elongating embryo, fully-elongated embryo, L1 larva, L2 larva, L2d-dauer molt, dauer larva, post dauer stage, L3 larva, L4 larva, newly molted young adult, adult
C08H9.8,,,,,,,,,,,,,,,,,
chil-4,0.3,,,,,0.2,,,0.1,0.1,0.2,,,0.1,0.5,,2
chil-5,1,,,,,0.3,,,0.1,0.1,0.1,0.1,,0.7,0.4,,7
chil-6,0.7,,,,,0.2,,,0.4,0.1,0.2,,,0.5,6,,
chil-7,0.1,,,,,0.1,,,7,0.1,0.3,,,0.2,7,,11
chil-8,7,,,,,0.2,,,0.4,6,0.1,,,24,,,
C08H9.15,2,4,16,3,22,43,22,28,27,45,123,17,18,32,17,31,10
C09E9.1,16,14,6,15,4,12,9,17,7,5,16,13,17,6,7,12,18
C09F9.1,4,,,0.4,1,2,0.1,13,0.4,5,0.1,1,,1,3,,4
C09F9.2,0.2,7,0.6,313,74,1,11,21,88,10,65,247,81,6,3,2,1
glna-1,0.2,0.2,0.5,0.1,0.1,0.7,0.2,2,6,3,5,3,4,6,2,4,3
C09F12.2,6,,0.1,0.1,0.2,1,0.6,0.2,0.5,0.4,0.2,0.1,0.4,0.9,0.5,1,0.6
C09F12.3,0.3,,,,21,3,0.5,0.5,0.8,0.7,0.3,0.1,,3,0.1,,0.7
C09G1.2,0.4,,,,,0.1,,,0.1,0.2,2,,,0.1,,,
C09G1.3,0.1,,,,,0.3,,,2,0.8,7,0.1,,0.6,0.6,,0.2
C09G1.4,2,5,3,2,0.7,17,4,14,28,12,10,8,11,5,1,2,2
C09G1.5,2,14,4,17,19,11,3,12,41,9,12,7,8,3,3,1,2
dph-2,8,10,14,11,10,8,16,8,6,8,15,19,22,10,5,18,13
C09G5.7,0.2,8,0.2,2,0.3,1,0.4,0.4,0.4,0.4,2,0.4,2,1,2,0.8,0.4
mks-5,1,0.3,1,0.2,0.4,3,10,4,1,0.3,0.2,0.3,4,0.2,1,2,12
C09G9.1,26,50,18,30,12,25,17,25,144,34,86,41,39,33,18,42,54
npp-23,38,47,32,55,31,16,18,15,9,13,11,12,14,19,9,46,35
C09G9.3,2,,,,,1,2,,0.1,2,0.3,7,,0.1,0.4,,1
C09G9.5,24,1,0.2,11,1,5,0.1,1,5,2,0.1,9,5,9,1,14,0.3
npax-4,2,,,,,1,,,0.8,0.2,0.2,3,,0.2,4,,0.7
C09G9.8,0.1,,,,,0.9,,,0.7,0.3,,,,,,,
C09H10.5,43,42,13,25,13,11,13,11,24,5,35,28,23,5,7,13,26
nasp-1,95,83,75,94,46,25,37,24,12,21,26,37,27,23,15,90,109
apc-17,27,15,15,13,4,6,13,6,9,13,6,12,9,11,3,17,39
glb-4,0.1,0.6,0.2,0.1,0.1,2,0.4,4,12,5,10,11,8,2,1,0.6,0.4
C09H10.9,3,,3,0.1,0.2,0.2,2,0.3,2,0.3,0.3,0.1,0.1,0.2,0.1,29,0.3
nbs-1,7,11,9,6,4,8,9,7,8,8,8,13,13,8,5,15,14
pezo-1,9,21,73,10,2,56,67,37,26,24,42,31,28,28,6,19,23
C10C5.2,1,,5,0.9,0.5,3,2,6,0.7,2,0.1,2,,0.8,0.9,0.1,0.4
C10C5.3,1,4,5,4,8,0.4,16,12,1,7,7,1,70,0.9,0.8,0.7,11
C10C5.4,0.3,67,3,13,14,1,0.6,4,2,4,15,5,0.6,10,2,4,0.2
C10C5.5,2,,,4,3,0.6,0.2,36,0.1,0.2,15,2,,0.2,28,,4
C10C5.7,84,,40,1,2,19,0.5,59,5,9,3,0.2,,44,0.1,0.7,0.7
C10C6.3,1,,,,,2,,,0.4,0.4,2,,,14,,,
wht-2,18,0.7,24,13,6,18,6,21,9,23,11,14,27,7,25,17,18
catp-8,30,48,55,37,6,43,51,41,19,34,27,30,31,36,11,38,32
C10C6.7,3,3,0.9,5,2,3,1,3,3,2,0.8,2,2,4,0.6,4,3
gpx-5,0.2,4,24,2,9,37,59,22,21,49,1209,658,623,51,61,59,40
gpx-3,67,1,6,3,6,2,0.6,0.4,16,33,19,6,0.5,1,6,29,22
del-8,8,,0.1,0.7,4,0.8,0.2,0.1,0.4,0.4,4,0.9,0.1,1,0.9,15,0.1
C11E4.6,0.2,4,7,0.4,0.5,60,18,56,18,15,17,12,11,8,3,3,3
C11E4.7,0.4,,,,68,0.2,0.6,,2,4,0.1,0.1,,0.1,0.4,,19
C11E4.8,1,,,,9,4,0.4,0.4,0.8,0.1,3,0.2,,2,0.1,,2
C11G6.2,3,,,,,0.5,,,1,0.1,0.3,,,,,,
C11G10.1,46,,18,3,3,0.1,0.5,0.6,6,27,4,0.6,0.9,6,2,38,11
WBGene00007526,11,,2,12,0.1,6,4,2,0.9,2,0.3,0.3,,4,0.4,,4
C11H1.2,5,4,17,12,5,14,20,8,6,5,5,3,4,6,2,3,1
C11H1.3,11,31,47,40,23,49,59,41,16,24,22,11,15,18,9,8,10
C11H1.5,0.1,0.2,1,0.6,0.1,11,0.4,0.2,32,4,0.3,0.6,14,0.2,0.2,2,0.4
C11H1.7,0.3,4,56,23,137,39,52,19,3,4,4,3,5,2,1,0.4,0.4
C11H1.8,12,50,31,30,15,24,27,19,16,12,7,6,9,5,2,7,20
cbl-1,4,2,31,24,17,0.2,2,2,25,5,46,47,1,13,10,13,1
fubl-1,26,66,98,94,92,74,84,53,89,41,47,52,59,37,16,50,85
ttr-19,111,,,,,0.2,,,0.7,,,,,,,,
daf-36,4,,2,0.2,17,11,1,3,19,3,3,2,0.5,3,0.5,19,0.5
fipr-8,7,,11,0.2,4,0.6,0.2,1,2,0.1,0.6,0.3,,0.2,0.3,0.2,2
C12D8.9,4,,,,,3,,,0.6,4,0.1,,,5,3,,94
B0334.12,9,,,,,26,,,9,1,11,,,29,41,,
C12D8.13,0.2,,,,,1,,,0.2,2,0.1,,,3,,,
fipr-4,13,,,,58,34,0.4,4,0.5,10,25,0.2,,0.1,8,,8
C12D8.15,0.1,,,,,3,1,,0.3,0.5,0.5,3,,2,0.1,,0.1
fipr-7,0.5,,,,,6,,,0.1,4,12,,,0.4,62,,0.1
fipr-6,0.3,,,,,3,,,0.1,8,7,,,4,34,,2
C13B4.1,11,7,3,4,1,4,4,11,5,6,24,4,5,8,5,17,22
nhr-153,4,7,0.1,6,2,4,0.2,3,6,2,0.5,6,0.1,4,5,0.3,0.5
nhr-154,5,3,11,3,0.6,23,19,18,15,10,10,12,13,5,2,3,3
C13C4.4,6,10,31,31,41,11,20,11,9,4,5,5,7,4,2,3,2
spin-1,0.6,4,16,2,2,35,38,25,13,24,30,12,26,34,13,15,5
C13C4.6,15,0.1,0.1,0.3,2,1,0.2,12,2,1,1,1,26,13,0.4,0.1,1
C13C4.7,4,0.7,0.5,8,0.1,3,0.4,2,8,3,1,3,16,0.8,9,1,0.1
C13C12.2,3,6,5,0.4,6,38,3,0.6,24,7,0.2,30,8,0.7,41,3,1
C13G3.1,0.1,0.6,5,0.7,0.3,7,9,6,55,12,34,15,9,5,4,4,5
pptr-2,28,37,31,27,7,29,32,36,64,34,36,37,41,27,10,46,54
dohh-1,12,40,127,126,485,50,93,49,123,47,75,209,147,46,22,45,36
C14A4.3,15,16,50,16,13,32,40,25,5,19,11,11,15,26,8,28,21
C14A4.6,22,1,19,25,18,0.2,13,30,27,28,36,44,3,19,6,34,26
C14A4.7,12,1,10,6,6,14,15,12,8,10,8,3,0.8,2,5,1,26
C14A4.8,4,,,,,2,,,2,0.2,0.3,10,,0.1,2,,0.1
C14A4.9,3,101,21,0.2,4,159,0.2,1,64,29,1,341,9,0.4,41,16,0.3
ccm-3,36,104,75,80,26,113,103,67,31,25,32,22,29,25,19,43,57
C14A4.12,0.4,1,9,0.5,0.7,21,23,20,18,10,38,23,19,9,2,4,2
C14A4.13,0.3,0.1,0.8,3,0.1,1,0.5,0.4,0.5,2,2,0.1,14,3,0.2,1,0.6
mrps-22,13,13,40,25,14,36,45,28,3,44,25,34,36,50,27,46,27
clec-48,3,,93,0.1,22,0.2,0.6,1,8,1,29,0.2,,19,35,0.3,0.4
C14A6.3,,,,,,,,,,,,,,,,,
C14A6.5,0.1,,,,,0.1,,,0.3,0.4,15,,,,,,
C14A6.6,0.2,,,,,0.8,,,0.2,5,0.1,,,97,,,
C14A6.7,,,,,,4,,,,,,,,,,,
C14A6.8,33,,,,,0.8,,,,,,,,,,,
C14B1.2,80,25,18,21,13,7,13,8,3,5,4,6,7,11,9,80,75
C14B1.3,5,7,9,11,4,13,10,13,18,8,12,15,15,18,12,9,9
dph-1,15,40,49,83,187,14,35,15,23,13,27,50,40,17,7,26,16
nrde-1,12,10,12,12,6,6,11,6,13,7,11,15,14,10,3,15,16
C14B1.7,0.4,1,31,3,3,6,0.6,1,2,5,9,3,2,8,37,4,4
C14B1.8,6,10,41,43,22,15,74,73,11,27,17,47,24,10,23,26,26
C14B1.9,0.6,1,89,1,5,64,1,3,2,4,6,3,15,8,68,7,6
alkb-8,12,11,12,14,7,5,11,9,4,8,7,11,11,10,6,15,13
C14B4.2,2,2,4,0.4,0.4,11,7,10,5,8,10,5,4,7,3,3,2
C14C10.1,4,,,,,0.1,,,16,6,0.2,,,21,0.1,,99
C14C10.2,7,5,11,8,6,5,10,5,2,4,6,10,10,5,3,8,4
ril-2,25,31,47,29,12,33,44,34,46,35,83,257,186,45,13,39,25
mma-1,7,6,40,7,3,26,39,24,14,35,27,33,40,42,13,38,28
C14C10.5,54,36,16,8,0.9,21,20,29,20,39,39,36,36,40,12,55,71
erg-28,3,5,9,69,22,9,575,167,10,9,7,77,32,4,10,12,8
ttr-43,0.6,0.1,32,2,5,2,0.2,1,19,6,24,32,1,3,2,0.2,2
zipt-13,1,5,30,4,11,51,48,52,23,62,69,17,23,65,53,45,20
C14H10.2,3,7,51,27,16,165,90,85,24,32,10,5,9,17,12,5,4
C14H10.3,1,4,7,2,0.5,66,21,38,16,35,23,13,12,35,16,9,6
lgc-23,1,3,0.3,0.7,4,2,0.1,0.3,0.7,0.1,0.1,6,1,0.6,7,1,0.9
C15A7.2,4,,4,0.5,0.1,1,0.9,4,0.4,0.2,0.1,8,2,4,2,2,0.4
C15A11.2,3,,0.3,31,0.1,0.2,3,0.9,3,2,4,0.1,,0.3,0.4,,2
C15A11.4,0.8,,0.4,4,1,0.1,2,1,0.6,2,0.7,0.3,4,0.1,96,3,0.2
C15A11.7,0.3,0.1,0.7,0.1,0.1,2,1,3,4,12,46,53,56,19,2,10,3
C15C6.1,5,5,3,4,172,0.7,0.1,1,62,14,17,12,6,40,2,4,4
C15C6.2,25,,0.7,142,0.4,8,0.1,0.1,22,0.5,1,64,,0.5,0.3,,0.4
C15C6.3,35,48,27,38,11,36,34,37,19,15,16,13,19,9,5,11,34
C15C6.4,20,36,12,25,22,12,11,11,0.8,6,8,10,10,8,5,18,20
xbx-9,62,2,0.2,39,0.6,0.2,7,0.8,14,21,6,0.8,6,2,2,2,21
hrg-7,15,5,264,3,16,2,0.4,0.6,627,22,772,2,0.5,94,55,13,5
C15C8.4,7,10,33,37,21,18,14,21,22,79,14,41,18,10,18,31,39
C15C8.5,4,10,1,3,0.6,2,3,0.3,0.5,0.8,0.1,4,0.5,4,0.1,0.2,1
C15C8.6,6,,,,,1,,,0.3,0.9,0.4,,,5,10,,0.1
C15C8.7,30,81,111,184,178,47,73,43,114,48,240,187,199,43,33,49,52
C15H7.3,6,,,,,6,,,0.1,6,144,,,,,,
C15H7.4,2,,,,,2,,,1,0.4,0.1,10,,0.9,0.4,,0.1
C15H11.1,5,,,,,3,,,4,0.1,0.2,,,17,0.2,,67
gnrr-2,4,16,16,12,4,30,25,22,8,11,21,19,15,5,4,7,4
set-31,1,2,22,9,6,13,6,12,8,9,18,10,10,6,14,10,8
rpoa-12,32,46,59,100,138,23,50,15,6,26,32,18,34,21,16,32,27
rrbs-1,30,50,138,163,64,63,112,48,205,51,58,191,182,55,40,70,67
C15H11.10,,,,,,67,,,,,,,,,,,
C15H11.11,3,0.7,4,0.5,0.2,3,3,0.6,3,3,4,0.6,0.6,1,3,0.4,0.7
ocrl-1,10,11,23,11,6,27,25,23,7,20,19,19,17,13,7,30,15
C16C2.4,40,23,37,36,7,39,53,36,34,19,68,45,33,29,17,43,31
C16C10.1,11,7,6,5,1,4,5,4,4,6,8,6,11,11,9,29,25
C16C10.2,28,30,38,78,42,18,29,18,12,12,27,32,39,19,12,30,23
hrde-1,261,58,5,3,2,15,8,13,7,14,16,23,21,24,35,134,214
C16C10.4,117,368,286,548,920,82,148,53,8,60,33,34,45,48,42,112,172
rnf-121,13,33,64,37,83,41,44,43,16,19,13,13,16,31,21,30,22
ccdc-55,27,15,28,33,12,24,35,21,17,12,17,35,35,16,9,33,26
C16C10.8,8,24,69,84,134,27,47,24,21,19,39,119,57,26,19,34,16
C16C10.9,0.2,,4,0.6,0.7,0.5,0.1,2,0.1,0.1,0.5,1,,2,0.4,2,5
har-1,75,134,53,158,58,88,44,96,36,187,83,61,60,229,261,143,155
wht-3,0.1,0.5,0.7,0.5,0.4,0.2,0.1,0.5,1,0.6,0.3,0.3,0.3,0.3,0.8,1,0.2
C16C10.13,0.5,,,,8,0.3,5,0.8,0.4,0.1,0.1,0.1,,0.1,0.5,,1
C16D2.1,0.3,1,1,3,0.3,1,0.8,0.6,0.9,0.8,4,0.1,1,1,1,0.3,0.3
C16D6.1,6,0.6,1,0.3,4,2,0.5,0.2,3,5,1,1,0.7,2,2,1,2
npr-4,0.4,1,0.4,0.4,0.3,2,0.2,3,13,5,13,12,10,1,0.9,1,0.5
C16D6.3,,,,,,0.9,,,,,,,,,,,
dhhc-7,33,68,93,41,27,75,71,57,43,29,34,28,35,36,15,35,51
C17D12.5,0.2,0.4,0.2,0.4,0.2,0.4,0.5,4,0.8,3,2,0.1,8,1,0.3,0.1,0.3
C17D12.7,27,35,13,16,10,5,11,5,2,3,3,4,4,5,2,13,22
C17E4.1,0.4,,0.3,4,1,2,9,0.8,0.3,0.1,2,1,2,23,0.4,6,5
C17E4.2,0.1,,,28,2,0.3,27,0.5,4,6,41,0.5,,2,178,,5
marc-3,2,1,58,4,11,71,4,4,1,3,2,5,40,5,93,3,2
C17E4.4,0.7,6,9,19,2,0.1,2,1,7,7,3,0.8,0.4,11,8,3,2
C17E4.6,37,66,42,50,21,38,40,35,22,14,17,19,17,16,6,27,45
nkb-1,16,50,116,26,17,309,188,302,369,130,169,111,121,86,46,85,50
C17E4.10,22,38,74,62,27,63,78,64,72,28,34,38,34,13,8,27,34
folr-1,0.3,,,,,0.1,,,0.3,0.1,0.1,,,7,0.6,,
C17G1.2,3,,,,,0.2,3,,25,0.3,0.1,0.3,,0.7,0.3,,31
ugt-23,33,3,68,26,48,12,5,25,131,38,17,11,2,9,80,17,23
nra-3,10,36,91,25,11,42,63,36,59,18,16,15,17,13,5,5,19
C17G1.5,7,3,4,39,18,0.6,27,14,5,20,7,29,5,4,2,17,17
cysl-1,2,35,36,41,32,376,85,250,26,58,41,32,48,46,27,21,10
C17H1.1,0.4,,,,,0.1,,,0.1,0.1,2,,,20,,,
C17H1.2,0.6,,,,,0.1,,,7,,,,,,,,
pals-2,0.3,,,,,0.2,,,0.1,4,,,,,,,
pals-3,0.1,,,,,0.1,,,0.1,17,,,,,,,
pals-4,0.1,,,,,0.4,,,0.2,0.8,46,,,,,,
pals-5,0.1,,,,,0.1,0.1,,0.2,0.7,0.2,40,,0.4,0.1,,0.1
pals-6,6,,,0.2,1,8,3,78,2,0.9,0.8,0.3,,0.1,0.1,,0.7
pals-7,0.4,,,,,0.1,,,40,,,,,,,,
pals-8,0.1,,,,,0.3,,,0.2,0.1,0.1,,,17,,,
C18B12.1,,,,,,,,,,,,,,,,,
seb-3,42,2,1,0.7,13,0.1,0.1,0.2,11,23,4,1,1,1,0.6,14,16
C18B12.4,19,51,46,32,15,63,52,62,222,32,165,70,62,22,15,17,32
fbxa-97,2,2,8,8,5,5,9,4,3,2,2,2,1,0.5,0.4,0.7,0.7
C18B12.6,5,8,20,12,6,13,18,11,3,10,10,5,7,13,6,7,5
C18D1.2,0.1,,,,,0.1,,,0.4,0.6,0.3,4,,0.1,0.1,,0.5
stg-1,0.8,0.8,2,0.1,0.4,0.9,0.6,1,0.2,0.5,0.1,3,7,1,0.5,2,0.4
fbxa-136,0.3,,0.2,3,0.3,2,0.9,0.3,0.1,1,0.1,0.1,,1,0.2,,0.2
C18D4.3,0.1,,,,,0.1,,,0.1,0.6,2,,,20,,,
C18D4.4,4,,,,,0.1,,,0.2,0.1,3,,,7,,,
C18D4.6,3,9,9,8,8,11,11,7,6,3,6,6,6,4,2,4,8
C18D4.8,2,,,,0.2,3,9,27,0.9,0.9,6,2,,0.1,0.2,,0.2
srz-90,,,,,,,,,,,,,,,,,
C18D11.1,1,10,45,6,13,124,100,154,55,81,198,64,67,62,47,15,12
maa-1,54,1,4,12,8,0.3,7,12,6,15,8,11,5,4,6,14,17
C18D11.3,12,22,36,43,23,53,30,34,25,24,26,35,32,37,44,43,22
C18D11.6,0.4,,,,,0.4,3,,19,42,0.2,37,,0.1,0.7,,28
C18E9.2,26,28,96,46,33,85,111,66,10,52,61,48,41,67,33,44,23
C18E9.4,87,357,237,435,309,179,212,208,14,324,319,142,134,253,251,295,155
C18E9.5,43,0.5,34,6,46,1,1,2,39,16,66,12,3,20,12,16,9
tomm-40,69,47,60,37,29,71,74,59,47,84,35,35,63,92,46,108,79
C18E9.7,14,2,0.8,0.1,1,0.4,0.1,0.9,1,4,4,33,0.3,0.3,0.3,22,4
C18E9.8,0.7,,,,,4,,,3,0.1,34,,,,,,
C18E9.9,2,3,12,0.8,0.8,107,45,76,53,67,21,14,29,62,33,32,27
sftd-3,24,51,41,72,69,42,46,31,9,30,32,22,31,23,15,29,29
C23H4.2,12,,2,0.4,1,5,1,7,2,2,0.8,25,4,8,7,3,0.2
C23H4.3,10,0.7,0.1,5,0.3,5,3,1,0.3,9,4,0.2,3,2,0.1,0.3,1
C23H4.4,0.1,,,,19,2,0.5,0.2,0.3,0.3,2,0.7,,0.3,2,,1
C23H4.6,2,2,0.5,3,1,1,1,5,0.8,2,0.6,3,3,0.5,1,1,1
C23H4.7,13,1,0.4,8,0.7,7,0.1,3,5,5,0.9,8,4,6,4,0.4,0.1
tram-1,70,218,322,129,54,221,218,153,107,125,48,38,65,182,51,70,103
C24F3.2,4,1,13,7,3,7,5,9,3,9,7,7,7,2,9,14,18
qns-1,19,17,16,8,2,14,15,13,18,16,8,11,12,21,11,29,28
C24H11.1,,,,,,,,,,,,,,,,,
C24H11.2,,,,,,,,,,,,,,,,,
srd-74,0.6,,,,0.3,0.1,2,,0.2,0.2,0.3,0.4,,0.1,0.2,,0.1
C24H11.5,1,7,17,22,19,23,54,51,14,26,14,26,48,39,64,36,28
gbf-1,24,39,41,11,3,70,49,68,40,48,32,23,27,42,22,17,40
mdt-21,7,7,8,8,6,7,11,5,3,3,6,6,6,5,4,8,6
C25A1.1,35,117,82,147,86,41,58,27,23,8,18,20,22,14,3,29,38
WBGene00007706,55,160,91,163,94,46,58,36,19,38,21,29,33,36,19,42,72
fath-1,83,77,33,45,9,146,49,130,138,49,27,55,41,29,16,52,47
clec-87,1621,3488,60,164,105,282,115,235,7,5,28,12,14,11,33,571,1923
rsa-1,88,107,36,62,27,27,25,24,1,10,10,14,10,11,8,51,48
lid-1,37,45,34,47,24,22,24,22,15,12,28,17,18,11,10,42,45
mrpl-34,37,47,48,61,44,53,65,43,16,38,38,32,42,37,34,55,52
C25A1.15,2,,,,,0.1,,,0.9,,,,,,,,
C25D7.1,5,,,,,0.2,,,50,,,,,,,,
C25D7.2,,,,,,,,,,,,,,,,,
fbxa-82,2,,,,15,0.4,0.1,,2,0.2,0.7,2,,0.1,0.7,,1
C25D7.5,0.2,2,0.9,1,0.5,2,0.4,2,3,3,2,8,9,0.2,0.6,4,0.5
otub-1,71,102,17,31,26,28,19,30,28,31,39,51,44,40,29,72,80
C25D7.9,,,,,,,,,,,,,,,,,
C25D7.10,7,10,30,21,15,24,30,24,44,14,19,18,19,21,10,23,15
C25D7.12,0.3,,,,,0.3,,,2,,,,,,,,
C25D7.15,5,2,1,0.7,11,0.1,1,2,9,2,2,1,1,2,1,0.9,0.9
C25F9.2,0.1,,0.3,0.1,0.1,0.4,0.2,0.4,0.2,0.1,0.7,0.1,3,0.1,0.2,4,0.3
C25F9.4,2,,,,21,6,1,0.1,0.4,2,0.1,2,,0.1,0.9,,0.2
C25F9.5,5,,,1,0.4,8,12,8,1,0.6,13,3,,2,7,,1
C25F9.6,9,,0.1,0.1,6,8,3,0.4,6,1,2,2,7,6,0.6,60,20
C25F9.8,,,,,,,,,,,,,,,,,
C25F9.9,3,,,,,5,42,,0.5,0.5,0.2,0.3,,1,0.3,,1
clec-185,0.3,,,,,0.2,,,0.2,0.1,0.1,,,0.1,0.3,,5
C25G4.2,6,21,42,63,199,26,43,28,32,31,60,170,116,20,22,16,28
C25G4.3,7,10,20,16,14,11,16,9,13,8,11,12,13,13,6,14,9
spe-44,0.7,20,2,14,4,0.7,1,0.7,1,16,4,1,0.7,9,1,2,0.7
smz-1,0.7,,3,0.6,39,0.1,0.7,0.8,18,34,15,1,0.1,1,0.3,159,0.3
C25G4.7,1,,,7,1,0.3,0.5,0.4,2,0.4,0.5,0.3,,0.3,0.2,,0.5
C25G4.8,0.1,,,,,0.2,,,0.2,0.1,2,,,28,,,
igdb-2,8,22,8,18,7,4,8,3,18,10,33,21,28,13,2,4,15
C26C6.4,2,0.4,0.4,0.3,0.2,0.4,8,0.3,0.9,0.3,0.5,0.5,3,0.1,0.4,0.4,0.1
C26C6.6,0.2,,,0.1,0.7,5,0.9,79,1,0.4,2,0.2,,0.2,1,,5
glb-8,9,4,1,4,17,2,2,0.7,2,0.9,0.2,9,2,5,25,0.9,2
C26C6.8,0.2,,0.6,5,0.2,0.5,0.7,0.3,0.4,0.1,0.4,0.1,,0.2,5,,0.3
C26C6.9,16,0.8,20,14,29,0.1,4,4,31,14,38,27,1,23,5,19,8
C26D10.3,1,2,2,3,3,3,1,3,2,2,2,4,4,1,2,4,4
C26D10.4,5,0.7,2,5,7,0.2,0.4,1,3,4,4,6,0.9,1,0.7,4,4
C26D10.6,0.1,0.6,2,0.1,0.3,27,7,27,16,14,23,16,24,13,4,5,3
C26E1.1,,,,,,11,,,,,,,,,,,
C26E1.2,0.9,,8,0.1,4,6,0.4,5,12,3,4,1,,2,0.5,0.1,0.1
ceh-79,0.2,0.2,3,0.4,0.5,1,3,3,13,4,5,3,2,6,3,3,2
syg-2,0.5,21,60,5,3,80,70,63,9,14,8,5,6,6,2,1,1
C26G2.2,4,2,6,0.5,13,0.1,0.1,0.2,2,1,0.4,0.9,0.5,1,4,0.8,0.9
wdfy-3,6,10,28,5,1,19,23,23,10,11,14,15,13,7,2,4,7
C27A7.1,5,0.9,7,2,5,0.5,1,3,5,6,13,2,2,5,3,12,2
C27A7.2,2,,,,,0.2,3,,0.2,21,0.1,1,,0.3,0.2,,0.6
C27A7.3,3,,0.3,26,2,2,1,0.2,3,2,3,4,,0.3,2,,0.3
C27A7.5,6,5,2,4,2,2,2,6,11,10,16,10,8,15,10,21,12
C27A7.6,3,0.8,19,1,4,6,0.8,1,2,3,2,2,5,2,14,3,4
C27A7.8,0.7,,2,2,7,7,0.8,3,1,3,7,0.3,,2,2,,0.2
C27A7.9,8,,,,,9,,,0.4,3,,,,,,,
C27B7.2,2,9,22,26,14,8,32,38,17,18,17,26,23,12,18,16,23
rad-26,20,22,52,29,4,26,51,25,16,14,14,20,19,12,4,21,26
C27B7.5,0.8,3,58,4,6,24,12,30,5,10,16,4,47,7,54,15,14
C27B7.6,2,,1,1,0.4,0.8,4,0.1,0.8,0.1,0.5,1,,0.1,0.5,14,0.1
C27B7.7,4,4,6,2,0.2,6,10,5,4,4,2,0.2,0.5,1,6,0.7,9
C27B7.9,7,0.4,41,0.5,3,0.4,2,0.7,3,1713,2,2,0.4,4,32,253,223
C27C7.1,7,13,0.9,1,0.6,2,1,2,1,1,9,11,14,25,16,58,34
C27C7.5,,,,,,,,,,,,,,,,,
C27C7.7,0.2,,,,,5,,,0.2,6,0.8,,,2,,,
C27C12.1,12,17,10,18,5,8,12,5,10,4,2,2,3,3,2,11,12
egrh-1,11,15,8,12,2,10,8,18,93,11,17,13,13,9,4,5,12
C27C12.3,0.1,,0.1,5,0.7,9,0.2,7,0.1,0.1,0.3,1,2,0.6,10,1,0.5
C27C12.4,8,20,36,22,18,24,34,21,11,10,16,10,13,14,7,6,10
acd-3,6,0.3,5,2,0.8,2,4,0.4,3,5,2,0.1,1,0.6,1,0.2,0.3
dmd-4,3,34,2,0.1,9,23,15,11,3,0.9,0.5,7,6,0.1,1,2,16
C27D8.1,9,,,,0.1,5,66,,7,0.3,0.2,0.1,,0.3,15,,0.1
C27D8.2,14,0.4,10,4,2,0.3,0.6,0.4,0.4,0.6,3,5,0.9,6,5,1,0.9
C27D8.3,2,5,12,4,2,21,18,19,30,17,20,18,21,18,6,8,12
C27D8.4,14,16,6,11,4,4,6,5,9,7,7,11,8,11,7,25,24
ruvb-1,50,108,60,85,41,40,50,32,30,32,26,30,49,37,17,64,64
tofu-1,22,14,7,22,6,8,8,8,6,6,21,35,31,22,12,35,26
rmd-2,37,99,85,128,101,37,47,41,36,55,84,49,71,68,46,74,76
C27H6.8,58,90,61,95,94,41,57,41,17,57,63,74,80,61,29,87,66
C28A5.1,0.2,0.3,6,2,2,7,0.4,0.9,0.8,1,2,2,4,0.7,7,1,2
C28A5.2,0.4,2,1,4,1,0.1,1,2,1,2,0.8,0.5,0.4,4,2,3,1
C28A5.6,0.3,455,0.4,4,1,0.2,0.3,0.2,0.4,3,5,0.3,0.3,0.9,0.5,1,0.1
C28D4.4,3,,,,,0.1,,,14,,,,,,,,
C28D4.5,0.1,,,,,0.1,,,8,43,,,,,,,
C28D4.7,0.2,,,,,0.1,,,10,0.1,35,,,,,,
C28D4.8,0.1,,,,,1,,,3,,,,,,,,
C28D4.10,34,,8,0.2,0.3,0.1,1,2,0.3,0.3,2,1,,1,3,0.5,0.6
C29A12.1,3,0.9,58,6,5,21,7,18,2,4,8,4,23,13,38,4,3
C29A12.2,0.1,,,,0.4,0.9,3,,0.5,0.7,0.2,0.1,,0.8,0.1,,2
nrx-1,0.3,1,3,0.4,0.2,20,5,32,21,9,12,10,10,3,1,1,1
C29A12.6,2,2,0.2,0.1,0.1,0.2,17,5,1,7,0.2,0.2,1,0.5,0.3,1,19
trpa-1,0.7,1,6,0.9,0.6,16,14,13,6,6,6,5,5,8,1,2,0.8
cutl-27,0.7,,1,8,0.6,0.5,0.3,0.3,0.3,0.8,0.6,0.1,,8,0.2,,0.7
C29F3.3,1,,,,,8,,,0.9,0.2,0.2,,,4,0.3,,
clec-231,0.5,,,,,0.9,,,0.1,0.4,0.1,,,3,,,
clec-230,8,,37,5,3,3,0.2,2,0.2,0.4,0.1,0.1,,45,0.1,,0.1
C29F3.7,23,1,35,5,19,0.4,0.4,0.8,74,2,68,4,0.5,30,11,17,0.8
best-7,7,,3,1,1,0.6,5,0.3,2,2,0.2,0.2,,0.7,0.1,0.7,3
C29F4.3,0.5,,0.2,21,0.1,2,3,0.1,0.6,0.2,2,0.2,,0.1,1,,0.3
C29F7.1,9,3,0.6,22,5,6,0.9,4,6,3,0.8,7,0.1,28,6,0.2,0.6
C29F7.2,0.6,57,51,130,43,15,24,18,32,156,43,40,35,65,27,19,18
C29F7.3,6,40,99,63,114,173,105,112,17,39,32,11,11,56,38,74,35
jmjd-3.3,310,9,2,9,23,2,2,3,10,2,1,2,5,1,10,35,1
