GeneTag,PHI,log10.PHI,Std.Error,log10.Std.Error,0.025,0.975,log10.0.025,log10.0.975,,
deps-1,1.427241564,0.152747571,2.52E-05,8.01E-06,1.238711372,1.733421507,0.092970124,0.23890417,,
Y65B4BL.7,1.057078242,0.018941605,3.06E-05,1.41E-05,0.766295432,1.344157398,-0.11560392,0.128450126,,
Y65B4BL.7,1.102584124,0.037054434,3.35E-05,1.40E-05,0.785651015,1.439289917,-0.104770342,0.158148283,,
acs-13,2.109993219,0.322453767,4.08E-05,7.82E-06,1.892501934,2.700769748,0.277036332,0.431487559,,
acs-13,2.097567797,0.319875717,4.01E-05,7.94E-06,1.883514846,2.684415366,0.274969048,0.428849714,,
acs-13,2.109493494,0.322390378,4.03E-05,7.73E-06,1.884149512,2.727396433,0.275115362,0.435748246,,
Y65B4BL.6,1.744633198,0.232061937,7.40E-05,1.84E-05,1.095584921,2.537449819,0.039646021,0.404397351,,
Y65B4BL.6,1.84963572,0.255707085,8.45E-05,2.01E-05,1.113023504,2.760328188,0.046504331,0.440960653,,
Y65B4BL.1,1.561444402,0.186826751,5.42E-05,1.55E-05,1.057529047,2.134183304,0.024292215,0.329231718,,
Y65B4BM.3,2.130733013,0.325957298,4.95E-05,9.19E-06,1.803727774,2.786947833,0.256170992,0.445128799,,
psf-3,1.27842772,0.101775795,3.44E-05,1.45E-05,0.966117064,1.60232167,-0.014970252,0.204749698,,
icd-2,3.025984526,0.476403475,0.000102219,1.16E-05,2.533288225,4.174981527,0.403684572,0.620654557,,
icd-2,3.064397573,0.481801122,0.000104885,1.17E-05,2.567452063,4.244408619,0.409502297,0.627817074,,
icd-2,3.016152859,0.47491464,0.000101841,1.18E-05,2.513449734,4.19665672,0.400270204,0.622903386,,
icd-2,2.332402945,0.359378219,9.89E-05,1.67E-05,1.601113779,3.4474895,0.204422112,0.537502952,,
wwp-1,1.500909686,0.173993856,2.54E-05,1.08E-05,1.328232422,1.787076913,0.123274077,0.252143244,,
wwp-1,1.505706668,0.176152349,2.43E-05,7.87E-06,1.335982607,1.811373583,0.125800796,0.258007944,,
wwp-1,1.59214437,0.200001061,2.90E-05,8.79E-06,1.373050971,1.951881522,0.137686597,0.290453236,,
wwp-1,1.595374227,0.200983346,2.90E-05,8.35E-06,1.3692889,1.956302117,0.136495086,0.29143584,,
ptr-21,1.618648887,0.206193805,2.87E-05,1.27E-05,1.460299552,1.961463205,0.164441952,0.292580141,,
lpr-1,0.744970441,-0.135289952,2.59E-05,1.71E-05,0.490794642,0.987875713,-0.309100226,-0.005297692,,
lpr-1,0.754933655,-0.128440693,2.52E-05,1.51E-05,0.512427888,0.999166034,-0.290367242,-0.000362342,,
lpr-1,0.726794243,-0.147904485,2.76E-05,1.93E-05,0.451708875,0.983794086,-0.345141456,-0.007095794,,
lpr-1,0.733584404,-0.144446656,2.88E-05,1.98E-05,0.453941882,1.011010065,-0.342999758,0.004755475,,
lpr-1,0.877170026,-0.064095303,2.85E-05,1.75E-05,0.59920436,1.136451258,-0.222425134,0.055550814,,
lpr-1,0.903004289,-0.050318599,2.91E-05,1.48E-05,0.620645995,1.182216136,-0.207156097,0.072696883,,
Y65B4BR.1,1.769858003,0.245806783,3.65E-05,8.47E-06,1.510800506,2.237509574,0.179207117,0.349764899,,
ceh-9,0.916252613,-0.047941118,3.47E-05,2.06E-05,0.566098783,1.236421175,-0.247107785,0.092166431,,
grl-16,2.688631535,0.425899059,8.10E-05,1.05E-05,2.316054549,3.639702801,0.364748777,0.561065625,,
grl-16,2.539090633,0.401155621,7.51E-05,1.04E-05,2.191499352,3.441423265,0.340741345,0.536738079,,
grl-16,2.602516651,0.411806941,7.81E-05,1.04E-05,2.249909278,3.520424402,0.352164993,0.546595008,,
F56A6.5,0.746093929,-0.136471733,2.88E-05,1.89E-05,0.457196955,1.016521438,-0.339896799,0.007116539,,
F56A6.8,0.924247086,-0.048176024,4.62E-05,2.25E-05,0.512820993,1.390981287,-0.290034225,0.143321256,,
hum-7,1.220133662,0.083700225,1.76E-05,1.32E-05,1.119110796,1.370428149,0.048873085,0.136856166,,
hum-7,1.214597344,0.082053423,1.76E-05,1.17E-05,1.111481085,1.364629,0.045902074,0.135014587,,
eme-1,1.166827559,0.063343063,2.41E-05,1.36E-05,0.968824768,1.383759602,-0.0137548,0.141060638,,
eme-1,1.150398493,0.05755059,2.50E-05,1.18E-05,0.940747864,1.384703963,-0.026526759,0.141356935,,
eme-1,1.17035377,0.062281691,2.88E-05,1.86E-05,0.94201371,1.41753902,-0.025942818,0.15153501,,
eme-1,1.199958563,0.074996211,3.25E-05,1.22E-05,0.88879957,1.517410466,-0.051196242,0.181103069,,
sago-2,1.65166831,0.216419265,2.87E-05,7.13E-06,1.483659666,2.038393152,0.171334287,0.309287951,,
sago-2,1.637493134,0.212653026,2.90E-05,7.14E-06,1.462717457,2.026086932,0.165160444,0.306658074,,
Y65B4A.4,0.728334546,-0.151831314,3.45E-05,2.36E-05,0.385292,1.064891687,-0.414210013,0.027305392,,
Y65B4A.6,2.112443686,0.322547257,4.41E-05,8.81E-06,1.829459137,2.700326649,0.262322713,0.431416275,,
Y65B4A.6,2.232857704,0.34632206,5.02E-05,9.29E-06,1.904779667,2.931221614,0.279844746,0.467048654,,
vps-20,1.20585978,0.076275498,3.25E-05,1.45E-05,0.913124828,1.504953671,-0.039469853,0.177523126,,
Y65B4A.2,1.314129233,0.116003796,2.53E-05,1.07E-05,1.110134885,1.56297895,0.045375651,0.193953129,,
Y65B4A.2,1.199067354,0.075636998,2.48E-05,1.20E-05,0.995271223,1.4249771,-0.002058555,0.153807878,,
Y65B4A.2,1.321792245,0.118860707,2.57E-05,9.41E-06,1.099801958,1.577440244,0.041314488,0.197952907,,
Y65B4A.7,1.291060686,0.104492746,3.86E-05,1.70E-05,0.950830055,1.650818872,-0.021897141,0.217699419,,
Y65B4A.7,1.363141656,0.125784665,5.02E-05,1.89E-05,0.893570527,1.883977044,-0.048871202,0.275075594,,
cus-2,1.179427505,0.068591237,2.40E-05,1.18E-05,0.983489721,1.403540048,-0.00723019,0.147224807,,
Y65B4A.8,1.407813311,0.143438935,2.89E-05,1.80E-05,1.213439821,1.668742538,0.08401824,0.222389336,,
Y65B4A.9,2.063759804,0.312442869,4.23E-05,8.84E-06,1.78904975,2.64779072,0.252622417,0.422883631,,
Y65B4A.9,1.669486761,0.219430521,3.88E-05,1.09E-05,1.356052246,2.094196896,0.132276422,0.321017453,,
Y18H1A.14,0.739043355,-0.140152276,2.32E-05,2.13E-05,0.512781946,0.929556309,-0.290068019,-0.031724297,,
Y18H1A.11,1.365460038,0.132053658,3.08E-05,1.14E-05,1.095885534,1.672917146,0.039765131,0.223474432,,
Y18H1A.11,1.562895775,0.190132186,3.86E-05,1.22E-05,1.239581994,1.978164019,0.093275252,0.296262298,,
Y18H1A.11,1.35024488,0.126308247,3.35E-05,1.30E-05,1.061280729,1.687432094,0.02583026,0.227226273,,
Y18H1A.11,1.614021301,0.203772858,4.30E-05,1.24E-05,1.241572898,2.066102091,0.093972224,0.315151769,,
hasp-2,1.054578185,0.019562842,2.30E-05,1.25E-05,0.853477586,1.263727066,-0.06880788,0.101653276,,
ptp-5.3,1.231089592,0.087946884,2.29E-05,1.00E-05,1.035957863,1.461008729,0.015342087,0.164652787,,
Y18H1A.4,1.343299389,0.12285585,3.50E-05,1.59E-05,1.048988298,1.664532713,0.020770613,0.221292332,,
Y18H1A.2,1.327958345,0.120071292,2.93E-05,1.12E-05,1.083213832,1.614013889,0.034714173,0.207907268,,
Y18H1A.2,1.298292637,0.107281774,3.69E-05,1.68E-05,0.98076898,1.646603321,-0.008433285,0.216588987,,
hgap-1,1.41361177,0.148457319,2.04E-05,9.94E-06,1.282731397,1.636851917,0.108135725,0.214009377,,
hgap-1,1.412682295,0.146230564,2.40E-05,1.57E-05,1.2760526,1.644463539,0.105868574,0.216024249,,
hgap-1,1.566333532,0.191452667,2.78E-05,1.44E-05,1.404608409,1.879649343,0.147555259,0.274076799,,
hgap-1,1.686076164,0.22465454,2.96E-05,9.97E-06,1.497157294,2.051002876,0.175267424,0.311966268,,
hgap-1,1.703414679,0.2291563,3.03E-05,9.69E-06,1.499181426,2.078094472,0.175854193,0.317665285,,
rec-1,0.820501685,-0.090685308,2.26E-05,1.35E-05,0.587589166,1.025508177,-0.230926241,0.010939127,,
rec-1,1.121469975,0.036072783,5.43E-05,2.26E-05,0.618860935,1.680825447,-0.208406937,0.225522612,,
pif-1,1.308935404,0.114136964,2.26E-05,1.23E-05,1.141668835,1.529044081,0.057540144,0.184420005,,
pif-1,1.340314388,0.124654807,2.39E-05,1.11E-05,1.162629022,1.581905612,0.065441142,0.199180542,,
pif-1,1.407571197,0.146385342,2.61E-05,8.96E-06,1.193198727,1.693705065,0.076712781,0.228837782,,
pif-1,1.334162831,0.117656395,4.84E-05,1.66E-05,0.881778521,1.819257467,-0.054640695,0.259894147,,
Y18H1A.15,1.301173449,0.111411966,2.28E-05,1.24E-05,1.134521647,1.501315845,0.054812783,0.176472068,,
Y18H1A.18,0.731983244,-0.15218173,3.91E-05,2.49E-05,0.374289054,1.138502555,-0.426792874,0.056334008,,
col-46,1.141522288,0.052734058,3.01E-05,1.41E-05,0.870809553,1.4180528,-0.060076816,0.151692401,,
col-47,0.74447,-0.136815622,2.84E-05,1.79E-05,0.456439175,1.021283597,-0.340617088,0.00914634,,
col-47,0.571653843,-0.257804036,2.88E-05,2.36E-05,0.301831307,0.864468321,-0.520237376,-0.06325098,,
Y18H1A.9,1.309977412,0.114790939,2.52E-05,1.01E-05,1.105261675,1.550376595,0.04346511,0.190437202,,
Y18H1A.8,1.164417624,0.061437909,3.38E-05,1.29E-05,0.846090881,1.508915341,-0.072582988,0.178664858,,
Y18H1A.8,1.14750123,0.04879763,5.04E-05,2.00E-05,0.682558583,1.664411978,-0.165860392,0.221260828,,
mps-3,1.209056735,0.078023143,3.41E-05,1.25E-05,0.893399103,1.550821789,-0.0489545,0.190561872,,
T06A4.3,1.393949151,0.141793251,2.56E-05,1.05E-05,1.197295022,1.653280283,0.078201176,0.218346486,,
T06A4.3,1.370285034,0.131442487,3.00E-05,1.78E-05,1.161015317,1.632941493,0.064837905,0.212970577,,
T06A4.1,1.419933915,0.150256559,2.40E-05,9.38E-06,1.2428284,1.67717743,0.094411169,0.224579008,,
T06A4.1,1.53693974,0.184314519,2.94E-05,9.72E-06,1.310145379,1.865042117,0.117319489,0.270688641,,
zfh-2,1.600262523,0.200552672,2.72E-05,1.54E-05,1.468003631,1.912941776,0.16672713,0.28170175,,
zfh-2,1.601637721,0.201981395,2.68E-05,1.17E-05,1.451888823,1.914170901,0.161933361,0.281980705,,
zfh-2,1.603637338,0.202676684,2.56E-05,1.17E-05,1.455580951,1.910547834,0.163036354,0.281157794,,
zfh-2,1.572111726,0.194199145,2.52E-05,1.10E-05,1.422728627,1.879819765,0.15312207,0.274116211,,
zfh-2,1.553960919,0.188685626,2.59E-05,1.26E-05,1.39694567,1.854611028,0.145179516,0.268252837,,
zfh-2,1.543710947,0.184743628,2.95E-05,1.48E-05,1.362821111,1.851390184,0.134438849,0.267497953,,
ZC123.1,1.6611588,0.218256488,3.05E-05,9.54E-06,1.472393258,2.067279367,0.168023819,0.315399165,,
ZC123.4,1.419260383,0.14935492,2.61E-05,1.15E-05,1.22411748,1.689900521,0.087823061,0.227860976,,
ZC123.4,1.349325895,0.126637831,2.78E-05,1.30E-05,1.134374958,1.620721212,0.054756628,0.209708314,,
ZC123.4,1.245764732,0.091275945,2.50E-05,1.53E-05,1.057584723,1.465019614,0.024315162,0.165843439,,
Y95B8A.8,1.313763976,0.115957119,2.31E-05,1.10E-05,1.147007949,1.529731344,0.059566425,0.184615151,,
pde-6,1.521181822,0.177591413,2.92E-05,1.69E-05,1.348962944,1.798872319,0.13000002,0.255000251,,
pde-6,1.736235142,0.235482126,3.47E-05,1.57E-05,1.516325177,2.122642392,0.18079234,0.326876833,,
pde-6,1.493935943,0.169485077,2.94E-05,1.76E-05,1.316387633,1.778928275,0.119383766,0.25015834,,
Y95B8A.6,1.227658629,0.085664652,2.81E-05,1.18E-05,0.979216492,1.501877469,-0.009121316,0.176634486,,
Y95B8A.6,1.213819981,0.079035304,3.41E-05,1.44E-05,0.913516159,1.550673272,-0.039283767,0.190520297,,
Y95B8A.6,1.136529565,0.049246501,3.39E-05,1.67E-05,0.82974056,1.453600683,-0.081057689,0.162445118,,
Y95B8A.6,1.141265869,0.049128819,4.31E-05,1.74E-05,0.738496501,1.566435901,-0.131651571,0.194912553,,
him-19,1.398397803,0.14261882,2.75E-05,1.19E-05,1.190558533,1.668610823,0.075750751,0.222355055,,
him-19,1.404833555,0.145240992,2.65E-05,9.96E-06,1.194799993,1.677831077,0.077295211,0.224748226,,
him-19,1.438453674,0.152866557,4.34E-05,1.33E-05,1.038024691,1.890247722,0.016207647,0.276518424,,
gpa-16,1.385140061,0.139461383,2.62E-05,8.60E-06,1.165216301,1.666194323,0.066406552,0.221725647,,
gpa-16,1.267486215,0.097787723,3.87E-05,1.35E-05,0.905519674,1.657070742,-0.043102338,0.219340959,,
gpa-16,1.305701017,0.110116623,4.05E-05,1.47E-05,0.942740105,1.721605378,-0.025608203,0.235933609,,
Y95B8A.4,1.401334524,0.144296661,2.81E-05,8.96E-06,1.1652395,1.700053568,0.06641518,0.230462513,,
prhg-1,1.627579451,0.208607763,3.02E-05,1.23E-05,1.430828677,1.97485358,0.155587592,0.295534872,,
