"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00013293",3.33404194779351,1.73727225594189,0.306363319103324,5.67062747925114,1.42275457528896e-08,2.50936552669582e-08
"WBGene00013294",5.57293432970245,2.47843715309827,0.201213732509474,12.3174354065599,7.29783510547124e-35,1.53200618099115e-34
"WBGene00013295",36.5687108125474,5.19253786192408,0.123739699660076,41.9633947406405,0,0
"WBGene00013296",3.97413556359002,1.99064108586974,0.30584628116226,6.50863263174239,7.58379336555618e-11,1.39503714586246e-10
"WBGene00013297",57.9676805429568,5.85717685519153,0.339414264224898,17.2567198039459,9.96111261238478e-67,2.32767900028372e-66
"WBGene00013298",6.72875963946108,2.7503405870168,0.180819501557421,15.2104201334909,3.01601326898404e-52,6.74941672241993e-52
"WBGene00013299",5.54623343250212,2.4715083384881,0.273412747931036,9.0394773367023,1.57422693807451e-19,3.08214184202676e-19
"WBGene00013300",1.69479647883477,0.761112036426612,0.258414230778771,2.94531781060541,0.00322623087879582,0.00373435452777829
"WBGene00013301",281.087442917899,8.13487519509483,0.0482029746065464,168.762929290053,0,0
"WBGene00013302",99.276227600068,6.63337639039112,0.0601755727271843,110.233705966782,0,0
"WBGene00013303",27.1408404506588,4.76239349122349,0.138236811826309,34.4509789274316,4.35349991081097e-260,1.44022081184316e-259
"WBGene00013304",9.85000239581146,3.30012407547509,0.23049609105469,14.3174839120897,1.70173535677359e-46,3.73458276463006e-46
"WBGene00013305",0.404270591884359,-1.30660683435395,0.357375733857048,-3.65611514875992,0.000256066367432049,0.000320954718471832
"WBGene00013306",14.6849532013077,3.87626676290976,0.105040457480075,36.9026073943464,4.19685284422855e-298,1.45745739914091e-297
"WBGene00013307",899.127273471535,9.8123815366712,0.0536706455782356,182.8258525858,0,0
"WBGene00013308",831.571831828952,9.69969707980248,0.0652855497973788,148.573414942611,0,0
"WBGene00013310",19.0110341408018,4.2487651071067,0.154359860349845,27.5250644660937,8.80147782208381e-167,2.53806625925857e-166
"WBGene00013311",4170.55416532686,12.0260233801905,0.060274632892468,199.520474917622,0,0
"WBGene00013312",54.1511288781343,5.75891950861958,0.142624488127079,40.3781958080604,0,0
"WBGene00013313",20.4053788697528,4.35087759246888,0.16890022009404,25.7600469084433,2.48754877549165e-146,6.92752546144973e-146
"WBGene00013315",9.75256296695781,3.28578140797165,0.176919878227353,18.5721437347432,5.40031929315863e-77,1.29756182736935e-76
"WBGene00013316",2.34123879807829,1.22727209174731,0.225316684753039,5.44687621821029,5.12621104845682e-08,8.86003417129471e-08
"WBGene00013317",67.3441175058166,6.07348002697689,0.113201000662746,53.6521761417225,0,0
"WBGene00013318",6.64162842143206,2.73153701077304,0.26812634087803,10.1874996758174,2.25488975834801e-24,4.52070946459819e-24
"WBGene00013319",47.7283381957445,5.57677420042696,0.174007052220484,32.0491274880092,2.25765582085251e-225,7.10751555509738e-225
"WBGene00013320",0.300633111373554,-1.73392418016508,0.468240394168601,-3.70306407084721,0.000213011057532508,0.000268959591346885
"WBGene00013321",203.213314910877,7.66685112301946,0.113287971960017,67.675773432729,0,0
"WBGene00013322",22.6348406011283,4.50047324177479,0.135678078889273,33.1702311723299,2.89370708093897e-241,9.32096597690072e-241
"WBGene00013323",155.629581692478,7.28197250012954,0.0520128389635977,140.00336542341,0,0
