"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00000039",76062,15,204,1656,79070,472,73916,1111,1298,33690,8479,18383,5979,13898,856,1025,31847
"WBGene00000040",10970,1330,12370,4210,19327,7893,42625,16709,111381,22936,3297,40065,8655,14864,23595,9466,72349
"WBGene00000041",28872,6176,24566,68426,19166,716,61710,6787,135273,34089,50786,31276,20001,4820,45303,53969,55855
"WBGene00000042",372,4,16,554,86,9,907,15,1480,144,540,125,134,17,85,540,235
"WBGene00000043",157,8,12,207,16,8,614,11,870,111,130,77,331,17,82,222,394
"WBGene00000044",57,8,18,879,17,132,485,258,1827,180,1125,67,168,100,65,537,541
"WBGene00000045",51,4,3,139,22,8,154,6,205,30,90,30,25,13,14,93,142
"WBGene00000046",575,4,9,138,745,108,1071,51,484,62,86,115,172,251,59,132,888
"WBGene00000047",3881,6,24,401,1772,11,5738,48,2815,494,548,405,204,182,182,564,1002
"WBGene00000048",614,8,7,112,189,6,1311,32,541,96,113,41,43,20,32,74,325
"WBGene00000049",166,6,8,64,27,3,464,14,576,37,42,35,49,14,27,25,346
"WBGene00000050",338,9,25,150,169,4,870,39,496,75,135,78,228,43,91,260,763
"WBGene00000051",1116,9,45,571,432,14,1908,50,1780,213,575,194,72,72,111,628,474
"WBGene00000053",294,3,3,325,266,10,497,17,738,52,286,49,104,40,32,393,452
"WBGene00000054",501,9,57,856,423,1,1040,11,1524,187,758,318,143,95,184,669,183
"WBGene00000055",484,34,113,656,261,45,1509,258,2388,321,786,488,217,107,330,620,1135
"WBGene00000056",62,16,52,369,25,27,1514,81,868,62,381,73,1893,38,109,404,10419
"WBGene00000057",33,14,74,843,14,5,151,14,1426,119,633,91,134,11,387,338,87
"WBGene00000058",549,13,18,690,315,18,971,43,4348,201,561,124,36,66,65,585,240
"WBGene00000059",111,12,23,571,67,11,879,42,1909,179,628,104,256,50,81,692,1135
"WBGene00000060",46,6,11,1443,46,4,301,16,738,120,932,80,180,24,35,824,303
"WBGene00000061",97,5,6,129,134,11,590,11,1796,50,160,81,75,63,33,168,349
"WBGene00000062",120,9,2,550,41,3,273,9,1128,230,536,87,119,20,18,425,270
"WBGene00000063",26648,1152,10947,11707,14281,1579,60061,9254,31862,16905,57691,33394,22209,6438,23650,7642,55647
"WBGene00000064",45008,12971,76978,17919,44141,9835,48943,80021,49098,12631,13681,37408,36984,20660,64901,19887,602545
"WBGene00000065",36660,1539,9741,14069,25702,1417,70783,11576,50193,49336,57311,46799,26824,8232,28063,8076,73382
"WBGene00000066",250492,827,136492,78461,294102,16229,405837,38715,1300918,99929,334153,232329,118828,93268,91865,61485,225344
"WBGene00000067",32020,182,26393,5831,19010,431,61826,10790,74460,54151,35324,118885,43702,3021,59289,77349,21366
"WBGene00000068",10764,55,349,7822,6575,24,16089,251,25587,2439,7412,1891,681,1162,980,4171,5527
"WBGene00000069",669,9,27,1436,419,9,1064,28,6765,234,777,186,63,81,114,903,387
"WBGene00000070",7092,15,493,2848,6506,55,10232,248,9378,2139,2286,3105,1042,1630,867,2754,7094
"WBGene00000071",665,14,239,1925,876,31,1536,185,3565,356,1666,596,311,313,803,1521,535
"WBGene00000072",1367,10,340,796,914,20,2596,109,6051,866,770,1152,542,202,941,702,837
"WBGene00000073",2615,504,666,21660,2731,408,4374,2756,5657,645,14762,1198,455,976,1480,12690,6733
"WBGene00000074",4647,679,1233,3078,3733,52,7445,677,29894,1191,4993,1631,821,1050,1182,1956,8078
"WBGene00000075",1001,606,813,753,1126,97,2133,410,1913,515,586,865,371,424,1179,540,4565
"WBGene00000079",8675,1185,3974,9442,14615,1719,23708,8157,9644,4195,4763,4505,2258,8499,6556,5492,51409
"WBGene00000080",4218,2165,2461,4697,7321,1750,9444,6005,5524,1066,2645,2026,1873,4127,6279,3360,29696
"WBGene00000081",9692,33,4040,5967,8546,258,20198,2406,26513,4684,9075,11695,6745,2099,11546,10348,6203
"WBGene00000082",2928,17,86,205,1381,148,9337,158,2058,1093,1021,424,1913,371,352,94,2957
"WBGene00000083",968,11,3356,4037,1375,76,3313,163,22103,5203,7944,7716,2028,513,3890,3053,1050
"WBGene00000084",793,10,208,397,280,12,1699,57,1285,288,393,1007,300,56,986,432,281
"WBGene00000085",290,3,33,565,92,4,629,7,1059,179,417,84,54,24,88,261,103
"WBGene00000086",9875,25,359,6197,9502,61,16341,769,26086,1281,3731,1221,606,2295,640,3929,6293
"WBGene00000088",170,11,432,644,108,3,994,134,8530,532,578,1402,543,24,1005,626,235
"WBGene00000089",927,6,144,1325,279,25,3553,133,6875,586,1355,632,309,61,476,1158,1090
"WBGene00000090",3712,2221,4633,4715,3987,131,6910,1299,19715,1547,3143,1720,1257,1641,5019,2641,19627
"WBGene00000092",5035,453,1116,5579,6738,757,10870,2907,52592,1351,3288,999,686,3036,1365,3348,14887
"WBGene00000093",594,429,537,1364,1152,442,834,1403,1155,435,1176,562,720,457,1687,1558,4295
"WBGene00000094",1799,887,659,1057,2482,255,2187,1260,1739,295,474,431,352,1104,1861,622,8401
"WBGene00000095",6798,502,577,2959,9077,693,9188,2422,10438,1269,2544,1147,495,2940,1057,2235,10350
"WBGene00000096",1661,10,25,839,2270,45,2058,101,3633,330,539,83,42,598,71,489,997
"WBGene00000097",2124,251,835,2674,2946,615,3715,1542,8122,1037,1818,902,919,1228,2778,1541,6743
"WBGene00000098",3674,6245,6880,3081,6569,1353,7044,7153,1490,1692,1525,3123,4295,4461,14818,1873,44917
"WBGene00000099",1442,1567,1971,1282,3473,3365,4113,7996,1782,591,592,647,1194,3826,5851,848,27322
"WBGene00000100",83697,344,4296,12406,90781,761,146376,5593,97337,11608,13706,9446,7235,24693,6101,9611,64995
"WBGene00000101",9479,4659,9757,14007,14598,455,22558,3226,18149,5672,8087,6349,4385,5507,20793,11013,30595
"WBGene00000102",9378,3971,6013,37478,8726,253,17764,4085,65516,4076,39400,3712,3079,2252,11469,16569,38961
"WBGene00000103",2403,123,519,8090,2075,85,7111,522,38626,1755,6452,1354,476,649,863,4094,3129
"WBGene00000105",119742,793,4862,15864,128533,1473,144670,9338,240369,16814,16258,16406,4988,37069,4544,10475,83680
"WBGene00000106",15370,2898,7433,2497,26978,2686,35331,15425,38063,5599,3329,3482,1609,13489,2784,3582,135318
"WBGene00000107",9894,1505,9673,15883,9844,449,14940,3302,27727,8051,12315,20537,9386,2695,20629,16702,11699
"WBGene00000108",1,5,1,9788,0,1,13,3,29,2,2409,2,3,6,3,4677,19
"WBGene00000109",27127,121,3038,8628,26134,393,28406,1687,12137,6232,6810,13127,3938,5963,9186,9916,11620
"WBGene00000110",7725,1328,6342,11418,8674,801,14619,4051,51406,5752,12227,10069,4282,3065,12307,7313,20995
"WBGene00000111",539,9,201,723,1156,50,900,344,8003,786,1412,930,389,556,434,1707,353
"WBGene00000112",3735,381,2888,6395,3401,240,6234,939,10318,2493,5874,7562,3135,1211,12122,4251,5587
"WBGene00000113",1119,471,1330,2689,1382,247,3507,824,6293,1645,3227,1591,5811,481,2075,3537,9396
"WBGene00000114",12545,1380,50171,232767,23632,4517,62296,13309,699225,34646,42085,61311,47799,10426,56017,113790,42122
"WBGene00000115",7208,519,7878,11815,11015,2441,9426,5055,11713,5159,13847,20789,3973,4574,22416,13790,21238
"WBGene00000116",1828,20,724,653,4735,186,3161,578,2834,637,597,1437,674,1546,1621,1242,1537
"WBGene00000117",1467,171,1285,2283,2461,149,3386,545,7991,1338,1208,2949,1743,947,2956,1701,3363
"WBGene00000118",1221,23,2135,6471,1200,749,4752,2365,26030,3616,3273,8043,4731,820,7077,2839,6980
"WBGene00000120",5776,510,707,1773,11773,3486,9024,18138,3557,769,1062,907,551,5708,839,1113,36996
"WBGene00000121",3463,9197,5589,3834,4049,1452,6715,12353,3046,1455,2052,2571,4326,2605,13616,2264,71611
"WBGene00000122",8559,3628,4571,7675,15545,4557,17114,24693,25835,2194,3620,4102,4041,8498,8796,4690,64235
"WBGene00000123",15976,7122,22226,20500,22850,1961,54230,17736,64095,8723,16068,11512,7724,13064,15532,16695,182582
"WBGene00000133",7,7,40,1707,3,2,106,6,548,6,6380,72,295,4,138,1350,87
"WBGene00000134",143,4,6,601,40,10,341,21,976,61,275,45,21,25,24,351,123
"WBGene00000135",86,9,25,2838,28,7,629,19,7040,235,2159,164,90,19,101,1859,193
"WBGene00000136",1088,11,786,823,347,12,2200,116,3134,2576,1286,6190,1210,50,3440,2379,524
"WBGene00000137",2948,774,722,1431,6203,416,6048,2089,2781,720,993,707,310,2860,1134,1377,16111
"WBGene00000138",324,10,716,2210,1174,88,3620,178,13673,2072,3233,2155,1721,750,1907,1744,1902
"WBGene00000139",699,3,70,915,1424,75,674,387,921,113,479,614,381,515,513,566,376
"WBGene00000140",13580,261,4260,17609,19971,270,37523,3298,176763,15789,13535,8284,5722,7215,11226,17325,22585
"WBGene00000142",3518,2950,1765,3367,5170,1667,5100,6072,2224,987,2117,2708,1884,2166,7747,2734,19953
"WBGene00000143",2073,1282,2057,3461,2904,385,4304,2566,2590,540,1850,1541,1288,1533,5339,2114,14848
"WBGene00000144",238,572,579,1553,240,130,367,646,132,80,677,396,720,82,2314,906,3876
"WBGene00000145",1224,2054,987,1245,3306,2798,3384,13098,1598,315,1243,420,600,2159,2077,869,12924
"WBGene00000146",20718,4142,7541,10198,19779,917,39748,5508,29100,5192,7951,3868,3402,7477,9366,8091,64057
"WBGene00000147",2065,669,1239,1213,4307,1297,4683,2778,5315,327,783,707,493,2490,1873,977,9187
"WBGene00000148",4069,760,1421,3390,8121,1363,8241,4958,1803,1353,2409,1761,942,4573,4072,3570,16397
"WBGene00000149",110071,138,14373,59076,107671,1898,204018,10883,459037,36791,58678,32861,12368,33038,13368,50996,98544
"WBGene00000150",12781,67,659,6774,12811,685,16175,1541,68706,4403,3649,4610,2575,3212,2899,4993,6514
"WBGene00000151",911,602,1063,2041,2056,299,2593,2244,1503,257,1304,921,897,912,3042,1269,5856
"WBGene00000155",2613,4104,9457,5562,2038,404,5093,3124,6829,4323,5136,10458,5331,1022,15101,10752,39303
"WBGene00000156",11733,2663,7177,4939,24210,1008,29828,5614,10721,2882,3290,3833,1961,10129,8983,3061,48311
"WBGene00000157",5083,547,749,871,9401,1789,8347,4074,5516,1032,1447,1680,1151,3326,1481,948,11470
"WBGene00000158",17508,1057,4421,8443,19942,918,25070,4489,34017,7053,6337,7008,3698,7638,8880,6635,27769
"WBGene00000159",2906,560,1071,2294,6376,2779,5525,7777,6038,877,2635,1687,1534,3581,3307,1630,7854
"WBGene00000160",26321,979,4892,7343,27516,1022,40753,6767,78817,11987,5868,7601,3231,10613,8241,6485,46470
"WBGene00000161",24609,1100,3635,7774,26135,1144,45378,5902,32261,6560,5903,6661,1917,9407,3404,7106,49042
"WBGene00000162",8235,1376,2856,3261,8451,172,13198,2021,10027,2279,2703,2369,1417,3001,4416,2412,22613
"WBGene00000163",10278,1845,4745,7217,14644,649,24587,4159,10832,2443,4789,3429,1848,5693,5779,5287,30161
"WBGene00000164",6430,392,678,1660,9725,1665,7998,5036,7930,1387,1624,1297,535,3569,1177,1455,14047
"WBGene00000165",3070,2091,1678,1607,5825,25951,12204,25831,1763,957,1649,1365,8583,11691,5088,2024,85299
"WBGene00000166",573,3,21,882,219,5,1387,30,6532,330,922,245,87,25,133,909,307
"WBGene00000168",1656,1956,5064,499,983,138,2520,1856,713,369,524,433,1947,504,4247,350,24960
"WBGene00000169",295,7,1577,1179,117,11,1375,39,7384,1333,1009,2750,1462,19,3422,1648,200
"WBGene00000170",286482,37,1368,43121,291717,6911,225885,18784,396171,16802,44515,6321,2972,75626,2146,12815,133546
"WBGene00000171",0,3,39,960,1,0,3,0,13,9,1158,8,36,7,71,708,5
"WBGene00000172",6356,11,368,578,3124,2,8341,340,2715,1486,1680,2914,1716,190,1591,2007,1515
"WBGene00000173",62,3,4,32,14,3,342,4,454,20,47,28,79,6,20,24,184
"WBGene00000174",71,2,22,1629,131,33,496,97,1175,43,1384,35,48,98,87,984,307
"WBGene00000175",7379,23,4699,980,5372,39,9067,138,60753,6841,1943,14829,7125,686,13167,10492,2736
"WBGene00000176",652,9,1287,144,133,4,1814,13,4543,1787,573,6128,618,23,8706,1167,371
"WBGene00000177",68,2,98,943,52,23,437,61,1174,183,1311,506,185,21,414,837,130
"WBGene00000178",7525,221,1210,1508,13579,6706,13727,10393,9372,2334,2539,5755,2698,8411,4459,2246,12119
"WBGene00000179",3702,158,902,1519,6150,986,4238,2025,1929,1247,1882,3184,2479,2651,4203,3015,4204
"WBGene00000180",2392,83,373,2077,3163,336,3918,724,4481,701,2382,1222,608,1486,863,1938,2893
"WBGene00000181",3450,1632,3691,6481,5321,10789,8743,22428,8141,3518,5324,6765,7090,4811,12148,8100,33581
"WBGene00000182",60288,2732,11609,19148,70308,8211,87076,30768,96281,24066,18841,23487,15914,29208,17567,24465,152885
"WBGene00000183",70878,3916,15334,25358,68771,17147,71651,36915,71804,24660,19698,28470,20230,27017,20332,24184,164494
"WBGene00000184",3681,186,658,1382,3897,663,4446,1565,4375,1278,861,1216,1008,1755,2343,754,7445
"WBGene00000185",4,2,5,33,0,14,23,17,465,14,67,3,4,5,3,23,191
"WBGene00000186",13892,792,2407,4338,9583,95,19702,743,13261,3292,3367,2273,1082,2449,2886,3403,13601
"WBGene00000187",4404,831,1290,2398,6120,1686,7378,5217,4115,1212,2528,2209,1587,2564,3547,2523,8944
"WBGene00000188",3056,3,32,1390,2291,15,3436,124,6105,1084,1029,185,273,247,82,679,2531
"WBGene00000189",1379,822,324,630,2584,806,1810,2268,1332,347,560,427,273,809,1254,501,4737
"WBGene00000190",16,1,9,38,6,7,57,13,1869,20,49,133,425,8,208,38,53
"WBGene00000191",52,1,15,147,20,2,125,9,304,21,113,35,148,6,35,78,70
"WBGene00000192",8750,3172,3533,4985,9690,1464,11746,4903,20820,3995,4616,3334,3073,3990,9654,4578,31691
"WBGene00000193",514,5,3,137,1007,121,986,231,473,41,160,16,1,178,21,89,519
"WBGene00000195",4579,444,884,2227,5094,1460,7933,3359,8162,996,1747,893,486,2462,924,1493,14228
"WBGene00000196",1292,93,708,2213,1825,120,2638,612,2180,590,1385,1340,788,662,2276,1753,1487
"WBGene00000197",10744,6024,23531,18268,10288,1146,27745,9522,34154,10350,12921,17562,8107,4407,21001,18552,90899
"WBGene00000198",10426,1688,6475,8729,14200,1585,14166,6582,18043,11897,5818,14400,8244,5630,15670,7103,40998
"WBGene00000199",9876,1065,3372,4409,10676,1215,16533,3599,43200,5469,3108,4369,2211,4879,6065,3614,22008
"WBGene00000200",8410,1998,4070,7125,11695,2180,13523,5131,46207,4605,4939,5186,2789,5558,9461,6308,22431
"WBGene00000201",10227,1302,2581,5948,10215,2013,13055,4384,39504,3816,3820,3866,2251,4026,6606,5511,21774
"WBGene00000202",385,1028,1180,1120,883,1278,1780,2618,1673,313,1509,607,669,957,1919,1584,8745
"WBGene00000203",3557,855,802,1651,5668,1705,3443,2996,2384,1246,1703,1164,1315,2619,3308,1745,5931
"WBGene00000204",6388,366,1836,3119,9839,5701,9440,7337,14078,4212,2315,2755,1969,5799,5507,3203,14168
"WBGene00000205",2351,1022,746,872,3230,1330,2614,2930,1942,674,990,881,1142,1405,3056,1102,7617
"WBGene00000206",3014,5516,5722,4929,2974,1941,4513,11100,2568,1387,3093,4523,6526,1655,20159,3805,62407
"WBGene00000207",19267,934,12832,40331,17920,9555,37282,16685,85800,25770,26714,34175,19536,8793,26138,32064,38038
"WBGene00000208",1296,434,1363,3907,2072,1762,4360,3376,6271,898,1626,1220,1115,1622,2363,1634,9500
"WBGene00000209",3291,2738,5176,4065,5742,6694,6448,21492,5078,2691,5660,6113,9035,4623,13766,7379,62164
"WBGene00000210",6477,847,3161,7737,7855,2003,10635,4810,13487,7083,9593,12463,12400,2570,11207,10306,15227
"WBGene00000211",170,20,225,918,191,664,1630,4953,2797,347,514,552,338,322,681,1509,8909
"WBGene00000212",100,7,462,1954,50,10,611,8,3896,619,1358,979,513,20,1489,1648,117
"WBGene00000213",6,13,2100,37,0,10,24,2,1498,816,443,670,496,14,1461,49,45
"WBGene00000214",14755,680,110429,4763,3046,22,70334,3682,656690,122589,43539,243205,130197,97,182345,179881,21636
"WBGene00000215",7363,162,25888,810,2315,9,17541,657,77999,31079,9039,73613,29387,134,54084,24539,4200
"WBGene00000216",9781,288,32742,4498,2942,6,28517,1430,137737,47224,13754,94891,45667,140,71267,28721,7784
"WBGene00000217",13245,73,11394,32008,37681,13931,23963,15209,46868,5955,25599,15278,11094,18671,15019,19028,19340
"WBGene00000218",4053,163,35514,2732,811,12,22992,901,294351,45754,11768,75053,33536,34,54707,32034,4964
"WBGene00000219",3134,368,45561,3136,370,12,27878,1202,1036265,52951,22573,97759,52734,16,70243,32497,6403
"WBGene00000220",39569,12,46,176,42884,226,37076,1894,1249,3491,873,1489,261,6415,147,109,21741
"WBGene00000221",16182,22,2152,8522,13740,811,20621,1916,29295,10898,7242,7050,3790,3643,4898,5039,7884
"WBGene00000222",6407,223,630,5425,9547,177,9665,1538,27305,3226,2595,1472,472,3225,892,3653,10023
"WBGene00000223",16347,2244,7969,16511,23041,2605,40280,10582,155649,19720,14431,9222,5169,15883,11981,17144,64357
"WBGene00000224",34868,100,1284,6768,35949,436,45293,1718,50354,3561,5231,4462,2158,6154,2085,6235,19081
"WBGene00000225",13271,212,958,3610,8090,80,15618,617,20074,3492,5571,3245,850,1521,1734,3398,7423
"WBGene00000226",3618,1113,4180,8733,6307,216,9765,2073,6996,2548,4308,4906,3117,2585,10262,6495,13458
"WBGene00000227",4337,1888,3460,2200,4389,159,11939,2369,8261,1312,2053,1812,1167,2473,4801,1301,26521
"WBGene00000228",12477,79,7764,7578,9609,290,29568,1722,42672,10173,27944,23122,11166,2157,12944,5142,12232
"WBGene00000229",86729,23105,167117,158815,71508,16330,194137,88017,503637,167809,123657,241532,108342,27776,179955,154363,515935
"WBGene00000230",19881,4103,15043,38849,20696,14992,31106,40703,136333,17634,25452,29512,19372,13013,34843,26303,106052
"WBGene00000231",20061,4160,23623,17693,27330,1413,54132,12089,87890,16866,17477,17820,10287,11400,12498,10648,101734
"WBGene00000232",1649,21,110,2844,1009,19,4776,82,5970,782,2298,695,299,198,390,3115,1272
"WBGene00000233",619,19,374,8493,149,27,2537,32,21021,670,8361,968,282,28,1055,7172,656
"WBGene00000235",4184,3448,3152,3199,11083,12043,7928,45565,4165,3110,2771,4001,3343,10773,9141,4098,51473
"WBGene00000236",1353,1321,1193,1392,2761,1133,3209,4141,1196,571,1141,1695,1533,1848,4493,1047,13404
"WBGene00000237",12359,65,1107,4143,12547,143,19447,1008,36379,2319,4485,3409,990,3735,1272,2596,11027
"WBGene00000238",3561,7,459,3796,3984,51,4780,129,9334,2011,2748,1857,659,862,1095,3358,1751
"WBGene00000239",976,9,601,817,488,26,2628,128,4590,1030,1380,2391,1046,183,1712,1934,842
"WBGene00000240",4570,14,2228,6306,3986,356,12900,382,54629,3778,5732,6925,2266,1386,7349,7208,2924
"WBGene00000241",1691,2,8,500,1387,12,2227,75,2589,121,316,41,26,186,18,353,1115
"WBGene00000242",2132,4,7,626,2672,18,2610,69,731,117,599,74,30,368,52,371,815
"WBGene00000244",1771,3,15,744,908,4,2199,69,3385,208,516,114,49,105,85,569,886
"WBGene00000245",602,159,778,1154,506,27,1290,279,11469,2782,1058,1574,1085,156,1939,1696,1392
"WBGene00000246",22,7,122,2374,31,10,317,8,1452,512,2584,1616,509,34,544,2473,87
"WBGene00000247",2742,223,1069,6699,4589,839,5390,2966,4460,981,5324,1282,949,2028,2898,3297,8257
"WBGene00000248",14468,686,1134,820,18665,837,20120,2272,10913,3108,877,1447,1954,5084,3447,1009,15093
"WBGene00000249",4602,1355,1199,1666,8327,6850,4829,18753,5881,1127,1216,721,888,7127,3059,1639,19273
"WBGene00000250",564,767,1170,1310,359,80,595,720,478,158,464,475,584,156,3409,364,5892
"WBGene00000251",145,5,328,57,285,3,190,3,579,49,80,27212,6583,136,571,42,164
"WBGene00000252",21,3,137,32,43,9,50,28,58,43,47,13021,8609,39,473,24,145
"WBGene00000253",7224,57,1368,3409,6702,111,14775,469,9630,2849,7084,3724,3360,2144,2040,2017,10586
"WBGene00000254",20817,3790,10975,21375,19120,478,38614,4415,27937,8340,21248,13498,7907,5641,16380,19050,55814
"WBGene00000255",15,4,30,49,12,6,222,18,22,89,267,209,338,12,120,23,65
"WBGene00000256",4,14,1124,25,0,8,13,15,21,8,66,13524,68202,7,6812,35,216
"WBGene00000257",2271,1491,4739,2856,6911,2146,14995,8190,3359,1498,1598,1755,2753,5855,6390,1577,44508
"WBGene00000259",1382,139,1422,4485,2113,171,3930,578,7994,952,3186,1886,1298,1001,3184,3062,2476
"WBGene00000262",1937,182,296,601,4270,3327,4523,5598,2230,341,515,240,159,3269,396,593,8126
"WBGene00000263",10787,2989,8164,11577,13479,16524,19979,40390,32951,12508,13104,15374,16738,10426,22764,14184,77621
"WBGene00000264",606,486,1252,1408,1380,416,1987,1848,831,375,541,547,1423,1158,2941,508,12008
"WBGene00000265",1078,824,1366,1302,2455,869,3374,2776,941,396,489,880,872,2000,2796,579,14492
"WBGene00000266",19538,31,472,2831,14089,347,22538,1628,3713,2235,3986,4988,2071,2551,1965,2940,6630
"WBGene00000267",845,11,57,1075,1190,24,1183,153,1417,135,710,276,446,230,342,661,749
"WBGene00000268",4620,1088,2912,9056,3973,63,7118,708,37553,4445,11487,3653,3194,1043,7025,8015,8802
"WBGene00000269",893,260,735,1072,1010,103,2015,454,2555,471,1293,956,657,382,1088,866,4149
"WBGene00000270",575,390,347,1068,1157,510,1086,1330,923,167,534,513,383,685,1445,617,2896
"WBGene00000271",3076,1645,2344,4901,5662,304,7420,2009,8397,907,2224,1634,1177,2532,4672,3265,15105
"WBGene00000272",3369,1,1,394,4621,72,2598,76,124,278,230,65,27,878,14,151,1534
"WBGene00000273",16716,110,21948,348158,5096,46,39082,263,468855,19245,151668,21386,8628,313,18417,153054,10160
"WBGene00000274",1703,1092,3578,3611,2639,124,5677,1303,3356,1115,2063,2749,1821,1422,4787,1717,15756
"WBGene00000275",4087,3339,8228,3885,10135,5253,19030,16631,3935,2381,2319,3293,4096,9264,13284,2570,101538
"WBGene00000276",8295,961,3039,55921,12501,4099,25627,10155,81186,5332,16897,5758,3718,6480,8100,35956,31129
"WBGene00000277",8660,44,3488,96231,10094,482,28157,1727,460434,21366,49996,8136,3557,4004,6073,72812,7030
"WBGene00000279",1449,67,68,895,809,160,2457,425,1517,202,791,213,96,263,262,680,1051
"WBGene00000280",1084,3,25,1121,491,9,2138,60,1278,249,958,176,82,59,104,961,482
"WBGene00000281",167,11,1269,7561,56,3,1385,5,15964,2531,8559,5835,1995,13,4764,5163,273
"WBGene00000282",2007,25,3976,9602,2521,25,3699,152,42231,5115,12723,8888,4247,405,9957,12322,1328
"WBGene00000283",4211,9,872,1018,1789,12,3833,25,4959,1069,2171,1903,1137,119,2154,1338,931
"WBGene00000284",1204,10,93,3972,556,55,5483,135,19315,863,4880,432,236,158,187,2598,1669
"WBGene00000285",524,4,76,2724,423,12,1337,23,2770,453,1651,678,1020,62,449,1421,728
"WBGene00000286",986,9,56,6721,507,6,1670,15,13608,544,3334,448,238,55,401,3045,402
"WBGene00000287",290,3,22,697,303,1,347,8,1175,171,198,236,49,41,96,225,64
"WBGene00000288",175,10,47,3775,38,5,1316,15,9645,924,3381,384,237,11,238,2683,311
"WBGene00000289",34848,3204,5887,5903,44782,2387,66194,10352,39291,4165,4740,3080,1682,18594,4511,4293,99299
