Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00044061,11681,618,4540,3961,11834,17832,884,23699,3917,30569,5052,3338,1592,2738,4490,1855,2560,26623
WBGene00044062,7,1,123,4,2,4,1,8,2,20,1,1,62,2648,1,372,3,5
WBGene00044063,3299,482,2131,1339,4522,1728,1255,4054,3017,2902,815,1687,1670,4151,2176,2428,1659,9137
WBGene00044065,1177,516,1602,1125,977,716,226,1438,988,7800,593,752,892,2045,355,1717,677,4884
WBGene00044066,297,30,281,138,2751,1635,6905,4608,12815,272,16,56,6,44,4762,12,34,10977
WBGene00044067,698,1571,10393,1136,480,2421,90,992,675,2946,322,565,1204,2293,188,4924,558,10005
WBGene00044068,30375,13,554,7263,57399,11238,301,41169,2364,46170,8357,4454,1656,1921,13385,429,4343,22740
WBGene00044069,2006,3873,20702,2196,2727,8636,2154,8257,7957,11852,1138,2291,1545,14745,2092,9505,2773,98633
WBGene00044070,11128,23,335,2814,7320,3443,195,24842,691,17056,4412,1723,3665,4216,1406,1206,1285,10378
WBGene00044071,3465,328,2965,4943,2922,2790,306,13421,1207,32944,2910,7516,1634,4473,1208,1822,3123,10753
WBGene00044072,8428,1083,5067,2541,13097,6946,3728,13213,9386,29066,2785,1648,1475,2168,7095,3102,1747,30493
WBGene00044073,103,4,511,19,57,81,5,930,12,15842,652,127,1060,1535,19,467,308,163
WBGene00044074,256,9,6,4,193,108,6,243,5,306,158,21,69,353,42,6,1,784
WBGene00044077,9581,541,9144,18320,12389,5463,432,17180,2434,24828,5186,6766,2670,3425,4660,6729,7740,15660
WBGene00044078,151,4,249,15756,81,93,0,1082,7,101139,693,2286,421,1034,6,384,5953,226
WBGene00044079,14809,25,687,4857,18287,4067,45,25489,212,23310,2447,2617,3035,2494,3168,1071,3702,9705
WBGene00044080,0,40,19763,46,5,7,3,10,0,17,11,12,1779,27227,11,32584,34,39
WBGene00044081,14,24,5475,283,0,18,3,13,1,30,7,35,26,4774,13,9722,12,12
WBGene00044082,1788,1,770,2844,11871,1212,1644,2602,752,2773,448,2495,948,3258,4055,812,1702,1231
WBGene00044084,5,5,12,49,1,4,7,67,2,142,6,33,0,54,10,8,13,278
WBGene00044085,10,1,0,2,5,1,4,36,3,348,3,5,0,11,7,8,1,34
WBGene00044086,1,0,2,228,1,0,1,7,1,8,0,499,0,25,4,3,291,7
WBGene00044087,3,0,2,31,1,3,2,22,4,49,4,10,2,19,6,4,20,50
WBGene00044088,0,9,3,2,1,7,9,10,0,16,11,3,3,37,13,13,3,27
WBGene00044089,0,5,2,1,4,0,4,7,1,7,5,0,0,16,5,2,0,11
WBGene00044090,1,6,0,142,4,0,0,7,0,49,6,52,2,30,8,2,96,28
WBGene00044091,1,1,2,0,6,4,3,29,15,251,25,2,4,13,5,1,5,76
WBGene00044092,1,2,5,77,0,0,3,14,2,167,9,26,9,44,4,4,79,24
