PHI	log10.PHI	Std.Dev	log10.Std.Dev	0.025	0.975	log10.0.025	log10.0.975
1.727939487	0.234450534	0.213088539	0.050938887	1.413289098	2.277972064	0.150231009	0.357548372
0.651710212	-0.192038909	0.110433114	0.072649574	0.461495199	0.907949328	-0.335832926	-0.041938393
0.158623919	-0.826371074	0.05359698	0.158309906	0.067579319	0.272837973	-1.170186698	-0.564095239
0.274429142	-0.570113719	0.054731658	0.086439902	0.181759426	0.399304152	-0.740503062	-0.398696174
0.606904805	-0.221260041	0.088324119	0.061134715	0.462532193	0.823989941	-0.334858041	-0.084078139
0.253225327	-0.606806815	0.055136544	0.095350511	0.157776937	0.37518499	-0.80195651	-0.425754547
0.245250925	-0.61803472	0.046363958	0.08158448	0.167530922	0.350487535	-0.775905093	-0.455327451
1.9530828	0.285974443	0.294724645	0.063772371	1.47263722	2.646151102	0.168095773	0.422614637
0.73093164	-0.142481729	0.127217685	0.074053351	0.516868379	1.016798134	-0.286620037	0.00723473
0.535280406	-0.276983768	0.086997236	0.069285129	0.385590214	0.738337621	-0.413874	-0.131745052
1.851457477	0.264220327	0.234664635	0.052859769	1.491133687	2.457996982	0.173516579	0.390581337
0.300141931	-0.531528354	0.059409095	0.090227902	0.200331472	0.437578966	-0.698250822	-0.35894364
1.447584987	0.157378525	0.182965258	0.052586759	1.169789559	1.900482892	0.068107737	0.278863953
0.536480725	-0.286341548	0.142318365	0.12018763	0.282508655	0.838902126	-0.54896846	-0.07628887
0.457608402	-0.348763108	0.094676206	0.090169539	0.292699609	0.670700786	-0.533577863	-0.173471283
0.977419853	-0.014069148	0.138158567	0.059559794	0.752862499	1.321367851	-0.123284364	0.121023732
0.905271769	-0.046849079	0.120346138	0.055497716	0.718272012	1.212737466	-0.143711056	0.083766795
0.31235674	-0.521734178	0.083331146	0.122669948	0.159076488	0.493178402	-0.798394147	-0.306995988
0.128636792	-0.919285536	0.045046574	0.164091187	0.052083249	0.228339857	-1.283302319	-0.641418282
0.428215861	-0.374575257	0.073460638	0.073484259	0.302508646	0.596478845	-0.519262208	-0.224404979
0.12850216	-0.930605948	0.052165187	0.194891868	0.04214181	0.244740168	-1.375286912	-0.611294747
0.624435782	-0.210716531	0.106890962	0.073261077	0.441075441	0.882849699	-0.355487123	-0.054113233
0.217937604	-0.685535669	0.069685939	0.149325912	0.095748143	0.369639754	-1.018869986	-0.432221375
0.251602858	-0.617801428	0.071703893	0.130067307	0.123222905	0.411364949	-0.909308694	-0.385772742
0.442254245	-0.361750275	0.082465442	0.080355834	0.300974543	0.629982894	-0.521470268	-0.200671245
1.07803452	0.026225122	0.188116461	0.074352624	0.765576456	1.50833193	-0.116011486	0.1784969
0.447648108	-0.362365186	0.108767881	0.109551866	0.25065441	0.678814104	-0.600924659	-0.168249253
0.257049888	-0.603691697	0.063846198	0.110805464	0.1457389	0.399975418	-0.836424537	-0.397966877
0.530941367	-0.28282994	0.101460956	0.083000071	0.354775858	0.759345115	-0.45004595	-0.119560831
0.25459221	-0.605265498	0.057267955	0.099334075	0.151784479	0.383280713	-0.818772641	-0.416483176
