,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00000543,3980,2500,3358,1278,2895
WBGene00000544,21,186,152,140,94
WBGene00000545,1636,21603,8821,1018,3103
WBGene00000546,7,36,119,247,141
WBGene00000547,4624,7582,4925,3210,6121
WBGene00000548,34515,49404,14707,6473,10448
WBGene00000549,9677,20399,8835,7746,13443
WBGene00000550,23691,35099,14199,12005,32317
WBGene00000551,0,544,334,0,3
WBGene00000552,48689,376200,40310,10057,48756
WBGene00000553,2888,17843,2256,80,2135
WBGene00000554,11303,39550,5465,633,4831
WBGene00000555,0,2,96,0,4
WBGene00000556,2,117,14,43,137
WBGene00000557,796,1632,89,164,2531
WBGene00000558,3,1689,42,185,498
WBGene00000559,0,4,313,0,1
WBGene00000560,0,745,4507,18,42
WBGene00000561,7389,306,346,23,501
WBGene00000562,567,582,200,60,183
WBGene00000563,41,280,209,4,81
WBGene00000564,6149,23783,3162,2170,2765
WBGene00000565,4866,10418,4656,3643,7509
WBGene00000566,15476,15527,3550,3509,4510
WBGene00000567,24912,37986,25482,6384,18576
WBGene00000583,1796,1056,241,51,622
WBGene00000584,2236,8321,774,37,671
WBGene00000585,5707,2510,3343,1654,3399
WBGene00000591,22694,13991,2631,2194,5972
WBGene00000592,501,622,3038,1356,1087
WBGene00000593,3,10,17801,2,19
WBGene00000594,13,489,145,1,476
WBGene00000596,1,4,7,65,11
WBGene00000597,16,167,232,44368,79
WBGene00000598,15,28,10,1,3
WBGene00000599,206,32111,2735,321,50200
WBGene00000601,0,126,97,221,2963
WBGene00000602,2,49,62,164,2614
WBGene00000603,249,467,1574,287,7270
WBGene00000606,0,31,248,145,69599
WBGene00000608,9,43,172,61932,112
WBGene00000609,5,11,148,71952,143
WBGene00000610,23,9,736,4,111
WBGene00000611,458,3330,899,334,2463
WBGene00000612,7,23,1015,3,19
WBGene00000613,44,16,9411,5,89
WBGene00000614,12,12,15522,0,12
WBGene00000615,28,84,167,651,16504
WBGene00000616,70,36438,335,1064,12715
WBGene00000617,9,6,12479,10,5
WBGene00000618,50,210,184,27,42163
WBGene00000620,45,2,9810,75,139
WBGene00000621,2,55,1241,0,4
WBGene00000622,7,20,904,16,18
WBGene00000623,56,11,30,2,2651
WBGene00000624,34,14,21,1,335
WBGene00000625,315,210,1413,344,6587
WBGene00000626,0,69,6,168,1622
WBGene00000627,8,27,6236,1,10
WBGene00000628,7,24,12035,0,12
WBGene00000629,8,998,9,0,20
WBGene00000630,176,860,64,46,149
WBGene00000631,17,32,22,0,3103
WBGene00000632,3,21,15,1,13
WBGene00000633,321,49,9,0,67
WBGene00000634,5,106,23,17,717
WBGene00000636,3,32,63,230,87
WBGene00000637,1,158,61,6,165
WBGene00000638,2,32,75,54,24
WBGene00000639,22,36,6,314,1484
WBGene00000640,141,142,51,8,29
WBGene00000641,272,344,209,113,3092
WBGene00000642,5,13,2,2,4
WBGene00000644,371,36,211,31,185
WBGene00000645,70,411,29,19,252
WBGene00000646,0,38,3,35,14
WBGene00000647,53,80,127,453,6251
WBGene00000648,4,132,1172,2,5
WBGene00000649,5,15,115,424,31568
WBGene00000650,2801,741,37,20,48
WBGene00000651,63,36,4,1,73
WBGene00000652,46661,1272,2705,382,3605
WBGene00000653,16,710,86,711,6192
WBGene00000654,11,43,9,1,5
WBGene00000655,43,103,26,34,1721
WBGene00000656,74,31248,335,76905,6327
WBGene00000657,21,72,49,9736,144
WBGene00000658,14,20,365,7,26
WBGene00000659,48,54,4075,60,43
WBGene00000660,66,32,13016,3,8
WBGene00000661,18,25,28,11,8
WBGene00000662,3,122,41,2,10
WBGene00000663,18,14,5,205,21
WBGene00000664,105,327,1328,49,339
WBGene00000665,24,23,134,46,32430
WBGene00000666,11,5852,41,144,1887
WBGene00000667,10,769,76,2561,7677
WBGene00000668,4,1165,263,35112,8328
WBGene00000669,14,19301,301,2788,3415
WBGene00000670,0,63,60,10833,27
WBGene00000671,0,104,11,829,24
WBGene00000672,188,166,2145,788,10631
WBGene00000673,91,22270,1003,22494,23850
WBGene00000674,4684,1318,146,142,1146
WBGene00000675,42,1249,861,49146,289
WBGene00000676,1,10,3288,0,10
WBGene00000677,109,32718,1852,19281,22246
WBGene00000678,46,126,974,209,4603
WBGene00000679,299,80,25,2,43
WBGene00000680,1,37,166,49367,65
WBGene00000681,155,23011,8068,273,15957
WBGene00000682,7,62,6569,4,6
WBGene00000683,163,274,2927,222,5595
WBGene00000684,66,372,11,41,2503
WBGene00000685,419,109,455,157,2533
WBGene00000687,229,223,168,63,891
WBGene00000688,2,19,793,1,15
WBGene00000689,21,519,21,32,1213
WBGene00000690,19,14,54,55,4
WBGene00000691,0,366,52,0,722
WBGene00000692,300,6118,649,728,2447
WBGene00000693,46,163,350,141316,150
WBGene00000694,49,213,161,141,66
WBGene00000695,44487,134,2,7,11
WBGene00000696,15,159,324,132803,230
WBGene00000697,49,101,670,13,38
WBGene00000698,33,73,240,133617,365
WBGene00000699,76,3366,325,545,29240
WBGene00000701,0,6,1,1,2
WBGene00000702,108,29,75,5,4238
WBGene00000703,2,586,159,20079,154
WBGene00000704,21,505,67,183,3488
WBGene00000705,277,13,39,2,922
WBGene00000706,12,16,13,7,15
WBGene00000707,5,9,15,837,4377
WBGene00000708,18,20,4,4068,27
WBGene00000709,1,0,0,2,2
WBGene00000710,0,43,6,47,19
WBGene00000711,47,21,64,363,4207
WBGene00000712,11,22,104,16721,174
WBGene00000713,1,42,271,115904,212
WBGene00000714,41,137,57,20,195
WBGene00000715,1,422,149,5083,4664
WBGene00000716,2,40,141,41572,32
WBGene00000717,28,17270,4421,353,31697
WBGene00000718,9,287,78,136,4897
WBGene00000719,8,76,28,140,1608
WBGene00000720,4,13896,315,501,9484
WBGene00000721,1,102,12,0,10
WBGene00000722,104,654,532,688,51460
WBGene00000723,167,727,3172,187,1597
WBGene00000724,25,417,651,4,12
WBGene00000725,21,30,33,4,10
WBGene00000726,79,2448,628,213,1694
WBGene00000727,26,724,205,49,2939
WBGene00000728,13,1084,19,741,2197
WBGene00000729,2,102,38,102,2958
WBGene00000730,13,31,39,90,2421
WBGene00000731,170,18,9404,142,417
WBGene00000732,6,662,132,5900,7086
WBGene00000733,6,90098,1108,32118,26520
WBGene00000734,2,127,40,251,2225
WBGene00000735,10,17,14,139,988
WBGene00000736,6,91,279,7,16
WBGene00000737,4,31,572,1,3
WBGene00000738,4517,1330,125,1,58
WBGene00000739,203,32661,2498,579,30658
WBGene00000740,58,14203,1276,147,20827
WBGene00000741,1,3966,71,66,6127
WBGene00000742,11,2310,286,52,15284
WBGene00000743,0,709,14,14,2830
WBGene00000744,3,16,27,0,19
WBGene00000745,445,103,131,11,898
WBGene00000746,43,9,274,21,2398
WBGene00000747,716,69,417,9,363
WBGene00000748,7,21,83,274,3451
WBGene00000749,55,2666,2155,46,15760
WBGene00000750,327,1105,131,11,136
WBGene00000751,2,20,122,39234,101
WBGene00000752,3,9,18,8640,35
WBGene00000753,2,60,301,214,7096
WBGene00000754,52,327,209,94497,163
WBGene00000755,12,150,24,4,702
WBGene00000756,8,19,12582,0,5
WBGene00000757,12,78,279,34141,210
WBGene00000758,0,5,2817,0,7
WBGene00000759,175,372,71,40,340
WBGene00000760,14,25,21,1,19
WBGene00000761,3252,6835,3152,1127,4430
WBGene00000762,1616,4675,3252,1169,2012
WBGene00000763,1566,2890,1949,472,1214
WBGene00000764,568,1917,1331,343,806
WBGene00000765,2488,2248,1227,951,3095
WBGene00000766,3138,6150,2630,1028,3809
WBGene00000767,4397,5741,3161,2140,7784
WBGene00000768,5252,8508,2399,532,4605
WBGene00000770,290,376,244,2744,2897
WBGene00000771,36,32,9,532,799
WBGene00000772,1148,555,2273,7004,2800
WBGene00000773,3434,2406,2172,2829,2774
WBGene00000774,3845,2735,2192,2036,2362
WBGene00000775,4525,1431,1826,127,1176
WBGene00000776,35669,62259,60466,80005,61522
WBGene00000777,2920,2292,5940,5082,4716
WBGene00000778,19590,336,172,91,2016
WBGene00000779,43570,38771,17784,13184,36643
WBGene00000780,158,1967,1530,742,4761
WBGene00000781,34,13103,273,19962,51758
WBGene00000782,6,24288,1092,7,88
WBGene00000783,3,3514,117,112,1653
WBGene00000784,12,15529,837,15943,84694
WBGene00000785,11,12452,261,5757,101302
