,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00015833,0,0,1,0,4
WBGene00015834,0,2,0,1,5
WBGene00015835,0,0,0,0,2
WBGene00015836,2,0,0,0,3
WBGene00015837,1,45,2,3,26
WBGene00015838,5,7,2,0,9
WBGene00015839,4,17,2,7,50
WBGene00015841,2384,1047,1698,38,7777
WBGene00015842,328,138,936,240,217
WBGene00015843,496,483,766,177,193
WBGene00015845,0,0,0,7,0
WBGene00015847,0,4,4,13,3
WBGene00015848,0,0,0,1,4
WBGene00015849,126,104,814,151,158
WBGene00015850,85,93,337,156,59
WBGene00015851,70,65,272,96,71
WBGene00015852,156,107,599,182,193
WBGene00015853,541,129,1603,525,559
WBGene00015854,2,20,2,4,5
WBGene00015855,1,85,8,165,299
WBGene00015856,0,0,0,12,1
WBGene00015857,66,10418,64,26,1328
WBGene00015858,267,372,86,0,118
WBGene00015859,2436,857,913,38,978
WBGene00015860,32,427,29,18,179
WBGene00015861,1114,4273,1101,92,441
WBGene00015863,16,82,19,0,4
WBGene00015864,322,490,335,1,107
WBGene00015865,33,8661,17483,76,1506
WBGene00015866,3270,7597,1566,663,886
WBGene00015867,19,654,225,3,84
WBGene00015868,17824,31675,2755,432,2360
WBGene00015869,4,4,1,3,3
WBGene00015871,0,2,0,0,6
WBGene00015872,0,1,1,0,3
WBGene00015873,0,18,3,3,12
WBGene00015874,1,3,0,0,3
WBGene00015875,0,1,0,0,7
WBGene00015877,0,15,1,3,21
WBGene00015878,0,18,1,2,49
WBGene00015879,23,8,890,19,291
WBGene00015882,0,20,11,1,91
WBGene00015883,0,4,3,1,1
WBGene00015884,9,50,0,1,27
WBGene00015885,458,589,825,129,1528
WBGene00015886,8,22,47,0,34
WBGene00015887,2677,4779,6673,1000,3583
WBGene00015889,725,1306,1727,6,70
WBGene00015890,29,36,1,7,14
WBGene00015891,5,141,1,6,8
WBGene00015892,2,6,0,5,29
WBGene00015893,1,18,1,7,25
WBGene00015894,497,2772,63,163,658
WBGene00015896,67,1178,54,93,335
WBGene00015897,320,1205,513,20,352
WBGene00015898,4,45,86,12,15
WBGene00015899,346,14,7,1591,9
WBGene00015900,20,609,50,3,43
WBGene00015901,15,1164,382,8,60
WBGene00015902,2,129,57,2,21
WBGene00015903,218,23,5,598,4
WBGene00015904,1,29,1,0,6
WBGene00015905,163,8,4,448,5
WBGene00015906,2347,150,96,5,179
WBGene00015907,0,116,0,492,223
WBGene00015908,0,287,37,62,48
WBGene00015909,1,2,1,0,1
WBGene00015910,399,30,6,4,331
WBGene00015911,23,11,1,1,127
WBGene00015912,206,57,33,1182,94
WBGene00015913,1666,17480,2067,19641,123503
WBGene00015914,244,216,222,43,17
WBGene00015915,2495,5324,3722,1515,2092
WBGene00015916,2139,1478,2202,857,1987
WBGene00015917,40,102,54,215,196
WBGene00015918,95,2797,1869,3,54
WBGene00015919,170,6734,4277,13,525
WBGene00015920,14204,27230,10593,6861,18844
WBGene00015921,138,2051,257,12,225
WBGene00015922,3379,11709,1361,1032,1700
WBGene00015924,0,3,0,1,1
WBGene00015925,150,432,270,15,81
WBGene00015926,13187,33260,9061,1413,5416
WBGene00015927,9656,20071,12061,4778,14471
WBGene00015928,4368,2187,2871,2124,2057
WBGene00015929,55,142,25,995,554
WBGene00015930,466,1547,2651,251,2964
WBGene00015931,28,65,9,840,247
WBGene00015932,5,175,23,22,368
WBGene00015933,1655,5324,121,982,14857
WBGene00015934,16249,3664,1829,40,1312
WBGene00015935,2,1154,797,6,213
WBGene00015936,43,366,523,183,142
WBGene00015937,199,160,61,212,223
WBGene00015938,2916,20456,5065,4003,3031
WBGene00015939,562,218,501,377,320
WBGene00015940,4293,3692,3352,1370,2621
WBGene00015941,4048,4077,2568,1647,3118
WBGene00015942,4692,13064,6423,767,8659
WBGene00015943,18643,34580,13678,7816,15719
WBGene00015944,38,10,17,26,79
WBGene00015945,54,63,177,11,43
WBGene00015946,494,200,250,36,314
WBGene00015947,607,2044,3120,32,433
WBGene00015948,18,777,1269,20,225
WBGene00015949,715,2219,117,161,2654
WBGene00015950,2,24,6,23,86
WBGene00015952,3,385,87,6,85
WBGene00015953,35,956,172,1,102
WBGene00015954,485,7498,926,814,8038
WBGene00015955,3335,27515,4416,2045,5850
WBGene00015956,7476,94497,8013,7296,45011
WBGene00015957,69,3111,137,37,273
WBGene00015958,1,118,67,0,6
WBGene00015959,1,3,7,1,2
WBGene00015960,0,5,1,0,5
WBGene00015961,0,4,0,0,1
WBGene00015962,1,26,0,0,7
WBGene00015963,97,165,124,6,92
WBGene00015964,103,530,402,3,83
WBGene00015965,2355,1483,471,287,3683
WBGene00015968,969,201,265,8,211
WBGene00015969,110,2170,682,15,344
WBGene00015970,21,21,34,63,258
WBGene00015971,6351,5912,1818,2683,2194
WBGene00015972,4145,3698,1756,485,1670
WBGene00015973,122,362,82,6,46
WBGene00015974,392,534,2134,946,808
WBGene00015975,600,1983,2510,1907,1605
WBGene00015976,1012,2947,1713,791,904
WBGene00015977,115,778,261,11,195
WBGene00015978,2246,8481,3989,3922,2649
WBGene00015979,17,5,0,0,8
WBGene00015980,205,1967,752,17,347
WBGene00015981,1644,4572,488,117,639
WBGene00015982,12,18,0,2,64
WBGene00015984,46,294,8,11,182
WBGene00015985,1,98,0,1,19
WBGene00015986,0,178,7,1,31
WBGene00015987,8,7,4,129,34
WBGene00015988,682,791,251,168,210
WBGene00015992,189,23,2,101,169
WBGene00015993,3,88274,15404,2,92
WBGene00015994,0,30,9,159,162
WBGene00015996,5,1986,508,12,239
WBGene00015997,0,6,0,31,106
WBGene00015998,0,24,55,2,8
WBGene00015999,8,79,30,0,17
WBGene00016000,95,10,20,1,32
WBGene00016002,5324,15684,4879,4586,4758
WBGene00016003,18,671,8197,70,120
WBGene00016004,55,1432,426,299,2454
WBGene00016005,1225,2286,539,9,265
WBGene00016006,114649,166638,54261,3766,43258
WBGene00016008,88,220,305,4,32
WBGene00016009,3510,4366,1681,136,1138
WBGene00016010,6,43,25,307,260
WBGene00016011,2409,6891,2234,1418,6976
WBGene00016012,1708,213,308,23,279
WBGene00016013,663,245,22965,28,1589
WBGene00016014,5226,4585,7744,2329,5150
WBGene00016015,18162,18623,10218,4812,8005
WBGene00016016,6,77,83,0,14
WBGene00016017,1,13,29,32,113
WBGene00016018,1171,17544,7306,1690,14499
WBGene00016019,1645,6384,3198,588,1600
WBGene00016020,6961,13042,4057,2840,11921
WBGene00016021,3646,2128,3341,730,1651
WBGene00016022,6545,8428,403,75,5464
WBGene00016023,14,421,195,32,324
WBGene00016024,66,857,732,13,345
WBGene00016025,871,292,62,4,101
WBGene00016027,708,3738,76,1987,9153
WBGene00016028,269,4109,8176,121,3652
WBGene00016029,3581,442,228,320,2165
WBGene00016030,3057,5984,1274,386,2700
WBGene00016032,27,659,73,3,62
WBGene00016033,16491,14893,4479,606,7626
WBGene00016034,1012,978,572,158,591
WBGene00016037,385,1482,843,31,314
WBGene00016038,1476,728,1045,13,234
WBGene00016039,16,55,10,10,41
WBGene00016040,3,428,166,609,237
WBGene00016041,3,733,205,0,60
WBGene00016042,0,160,4,0,15
WBGene00016043,0,56,0,0,3
WBGene00016044,246,8378,3365,29,734
WBGene00016045,4373,3089,2555,2599,1991
WBGene00016046,6135,3605,547,133,902
WBGene00016048,29,6428,101,4231,7160
WBGene00016049,1,145,27,3,29
WBGene00016050,4,8,4,1,5
WBGene00016051,2,10,55,0,3
WBGene00016052,593,18561,1333,329,331
WBGene00016053,2,18,3,315,182
WBGene00016054,9,4,3,531,191
WBGene00016055,1996,1467,1115,646,1167
WBGene00016056,188,204,53,117,23
WBGene00016057,2480,2919,1593,742,1887
WBGene00016058,1,0,0,382,57
WBGene00016059,3947,7687,4731,655,3464
WBGene00016060,4625,6353,6389,2124,4867
WBGene00016061,2224,50302,560,3392,10087
WBGene00016063,2,31,6,12,154
WBGene00016064,0,245,351,26,717
WBGene00016066,1180,315,2422,144,154
WBGene00016067,7957,4102,343,75,676
WBGene00016068,2870,2765,2031,346,1168
WBGene00016069,5881,195,32,3,400
WBGene00016070,26,4,2,7,1
WBGene00016071,3590,68,25,52,22
WBGene00016072,122,81,31,26,26
WBGene00016073,4447,20829,15649,1757,4243
WBGene00016074,1106,605,752,2033,954
WBGene00016075,19,146,0,9,23
WBGene00016077,44,4,0,8,4
WBGene00016080,1008,81,14,30,13
WBGene00016081,5,613,84,24,110
WBGene00016082,0,4,0,5,0
WBGene00016083,0,10,1,39,89
WBGene00016084,7,56,54,11811,108
WBGene00016085,16,275,330,422,180
WBGene00016087,1574,3919,774,1469,1002
WBGene00016088,44577,535,87,2887,42
WBGene00016089,882,666,253,10,101
WBGene00016090,37,475,176,3,73
WBGene00016091,59,237,301,2,43
WBGene00016092,77,121,5979,1,17
WBGene00016093,59,3963,1116,119,679
WBGene00016094,44,201,245,27,438
WBGene00016095,66,2219,4205,193,1203
WBGene00016096,0,497,342,2,46
WBGene00016097,10,4700,4318,213,615
WBGene00016099,0,1684,224,130,328
WBGene00016100,6,412,161,1,63
WBGene00016101,2814,3166,7376,313,2621
WBGene00016102,2623,1939,1191,283,1074
WBGene00016103,10878,63806,4565,4144,29095
WBGene00016104,7746,3840,1159,165,833
WBGene00016105,58,13,6,0,71
WBGene00016106,7380,965,128,32,8155
WBGene00016107,159,826,36,6,193
WBGene00016108,95,1769,408,11,426
WBGene00016109,13,930,169,4,86
WBGene00016110,101,580,794,32,82
WBGene00016111,2,905,4553,23,75
WBGene00016112,1032,1039,535,412,634
WBGene00016113,1598,2649,2367,1093,2588
WBGene00016114,619,5037,5793,77,1207
WBGene00016115,9094,42847,7019,3957,3520
WBGene00016116,3772,7328,5582,1947,4709
WBGene00016118,10916,31831,9728,9537,22828
WBGene00016119,24,3689,19564,120,1001
WBGene00016120,2478,4525,2457,1421,2997
WBGene00016121,3198,2831,1045,151,365
WBGene00016123,1173,1097,772,481,1349
WBGene00016124,3354,5204,2681,1061,1664
WBGene00016125,22,102,122,144,139
WBGene00016126,42,592,309,5,59
WBGene00016128,2210,2970,4525,880,1631
WBGene00016129,1477,696,1025,400,1187
WBGene00016130,57,104,36,36,550
WBGene00016131,5366,8229,2640,479,2720
WBGene00016132,258,11,7,1,250
WBGene00016133,20766,758,368,45,6471
WBGene00016134,2304,31486,3245,1816,13971
WBGene00016135,7005,1868,545,33,305
WBGene00016136,1097,1,6,8,727
WBGene00016137,9,97,16,3,14
WBGene00016138,27159,57299,1787,1052,2526
WBGene00016139,10159,28224,3300,3312,4801
WBGene00016140,12407,24076,13405,9819,17174
WBGene00016142,4444,7330,5082,1647,4222
WBGene00016143,3534,4472,2800,1535,2189
WBGene00016144,1543,2262,1352,1145,2619
WBGene00016145,1425,1158,2162,587,1175
WBGene00016146,6984,1325,214,50,1502
WBGene00016147,16,3310,2366,147,610
WBGene00016148,4470,2536,2616,668,1395
WBGene00016149,11,1350,498,14,157
WBGene00016150,762,16431,1733,389,1246
WBGene00016151,6911,1766,9543,4091,4422
WBGene00016152,160,80,954,37,143
WBGene00016153,1,40,9,9,112
WBGene00016154,5582,3040,4166,2007,2382
WBGene00016155,270,310,231,38,221
WBGene00016156,2698,3059,2569,2082,1269
WBGene00016157,4752,10677,3993,2752,1895
WBGene00016158,5091,11366,6072,2655,4391
WBGene00016160,106,28,26,0,17
WBGene00016161,3,7,11,371,226
WBGene00016162,16275,76532,11624,2640,11669
WBGene00016163,224,622,363,3382,421
WBGene00016164,0,13,220,3,145
WBGene00016165,1985,852,428,24,161
WBGene00016166,4934,14322,5028,1180,2927
WBGene00016167,6200,10609,5226,1269,2353
WBGene00016168,9,35,7,4,37
WBGene00016169,281,479,459,638,142
WBGene00016170,27680,30532,15621,11302,22020
WBGene00016171,3938,1748,2145,1219,2095
WBGene00016172,1642,8199,11868,211,2024
WBGene00016173,15110,17548,5706,5697,5419
WBGene00016174,545,849,2979,227,1424
WBGene00016175,48,952,20,4,37
WBGene00016177,272,30,103,64,81
WBGene00016178,205,107,120,6775,199
WBGene00016179,0,4,35,31,23
WBGene00016180,18,784,91,43,1976
WBGene00016181,2,125,356,104,203
WBGene00016182,726,1468,2665,1449,1437
WBGene00016183,1,6,0,7,19
WBGene00016184,48,2108,1473,15,360
WBGene00016185,0,10,4,1,16
WBGene00016187,109,650,10,6,10
WBGene00016188,5265,7346,1162,870,2937
WBGene00016189,325,127,8,284,36
WBGene00016191,32,1365,882,122,544
WBGene00016192,10624,1925,1111,669,1071
WBGene00016193,207,552,1127,11,79
WBGene00016194,12407,78360,115400,16403,43019
WBGene00016195,12500,5798,6620,4691,10179
WBGene00016196,28,14,149,4,857
WBGene00016197,3998,37532,6215,965,4954
WBGene00016198,5,37,31,0,8
WBGene00016199,41,149,46,3,19
WBGene00016200,13967,12208,4199,3324,3554
WBGene00016201,4239,65715,22387,1314,11675
WBGene00016202,8445,6955,4229,4775,3799
WBGene00016203,5894,6613,2676,470,2553
WBGene00016204,4,1121,63,58,5765
WBGene00016206,2865,925,311,88,514
WBGene00016207,15,464,641,23,125
WBGene00016209,5373,1133,1878,391,2374
WBGene00016210,7029,1578,1802,764,6340
WBGene00016212,6,509,205,36,298
WBGene00016215,23,1558,2045,54,365
WBGene00016216,1639,1738,618,78,427
WBGene00016217,635,605,177,35,511
WBGene00016218,3,22,1,3,7
WBGene00016219,482,1193,155,132,1036
WBGene00016220,5,13,8,4,8
WBGene00016221,68,570,1731,26,326
WBGene00016222,2,218,2,0,5
WBGene00016224,48,225,138,17,137
WBGene00016226,1,7,0,1,9
WBGene00016227,51,63,10,1,13
WBGene00016231,6,37,4,1,14
WBGene00016232,3,32,160,1,4
WBGene00016234,200,11935,7669,359,562
WBGene00016235,10382,36838,12364,9667,20685
WBGene00016236,449,185,2420,941,1034
WBGene00016237,3817,17430,1322,142,944
WBGene00016238,11376,15491,4413,4214,5824
WBGene00016239,60,58,19,3,35
WBGene00016242,880,199,90,2,834
WBGene00016244,7095,13231,4069,3278,4536
WBGene00016245,3097,908,2124,823,1321
WBGene00016246,139,2709,3296,22,300
WBGene00016247,30,274,445,40,978
WBGene00016248,214,1534,926,10,193
WBGene00016249,2731,4985,3134,665,2978
WBGene00016250,8084,70858,24402,22184,55480
WBGene00016251,30,100,132,1,7
WBGene00016252,18,64,71,1,3
WBGene00016253,13,44,111,0,3
WBGene00016254,961,342,1,0,21
WBGene00016257,49,94,1,0,9
WBGene00016258,24883,223375,24765,12171,60967
WBGene00016259,772,90,36,10,443
WBGene00016260,687,19771,4749,650,3376
WBGene00016261,1367,2359,2281,791,2379
WBGene00016262,48,888,18601,40,119
WBGene00016263,279,108,535,2032,292
WBGene00016264,2502,33765,6303,1006,8203
WBGene00016265,785,10962,2486,100,1385
WBGene00016266,443,3930,3489,841,4246
WBGene00016268,12,334,50,1,16
WBGene00016269,659,19568,3959,374,1589
WBGene00016271,20,86,8,8,9
WBGene00016273,1277,79,15,40,653
WBGene00016274,14,331,195,2490,1967
WBGene00016276,797,244,140,5,578
WBGene00016277,975,329,3223,2610,2485
WBGene00016278,7702,30441,4125,2431,9845
WBGene00016279,0,98,106,0,11
WBGene00016280,3,81,2168,0,19
WBGene00016281,29,415,1246,6,88
WBGene00016282,1533,424,244,24,556
WBGene00016283,3,7705,2862,427,1439
WBGene00016284,0,9,8,0,3
WBGene00016285,1,9,17,0,22
WBGene00016286,66,24,6,60,469
WBGene00016287,118,8,15,20,53
WBGene00016288,8,20,2,109,127
WBGene00016289,6611,12852,3672,184,2664
WBGene00016291,618,458,1860,3713,778
WBGene00016292,9352,12264,7717,590,3847
WBGene00016293,12,1770,863,10,197
WBGene00016294,930,324,331,46,987
WBGene00016295,5980,538,22,70,45
WBGene00016297,269,10,4,11,6
WBGene00016298,117,24,27,46,4
WBGene00016299,56,6,4,42,2
WBGene00016300,227,13,0,2,3
WBGene00016302,32,383,596,0,54
WBGene00016303,118,754,0,496,8
WBGene00016306,85,5,1,1,4
WBGene00016307,289,17,0,169,4
WBGene00016308,420,81,316,20,5
WBGene00016309,100,29,3,138,5
WBGene00016310,245,6894,947,43,273
WBGene00016311,9407,10077,5476,4499,5290
WBGene00016312,15,33,13,100,182
WBGene00016313,5292,3306,1605,2055,2095
WBGene00016314,327,2111,423,320,827
WBGene00016315,2330,6010,2485,131,1290
WBGene00016316,5985,20736,7814,2508,5964
WBGene00016317,3880,6151,2778,2478,2407
WBGene00016318,9055,23283,11166,4051,5180
WBGene00016319,12252,128,319,30,2367
WBGene00016320,11,79,10,8,26
WBGene00016321,2914,5162,2218,836,2603
WBGene00016322,8,24,15,146,109
WBGene00016323,2251,4225,2000,1671,997
WBGene00016324,145,1670,704,7,165
WBGene00016325,284,1314,747,393,1180
WBGene00016326,12107,56247,16971,9588,18184
WBGene00016327,22,244,4,258,129
WBGene00016328,395,797,411,11,137
WBGene00016329,2515,92,283,23,3325
WBGene00016330,4334,12615,7725,580,3038
WBGene00016331,5904,15093,6056,4221,5963
WBGene00016332,3973,13337,42443,1038,3003
WBGene00016333,2254,27732,13381,9679,18826
WBGene00016334,1,1534,131,0,26
WBGene00016335,298,4141,323,410,4469
WBGene00016336,22,34,18,36,105
WBGene00016337,64,199,152,56,111
WBGene00016338,37,305,199,13,88
WBGene00016339,18,70,10,29,84
WBGene00016340,36,539,28,16,611
WBGene00016341,505,1944,1537,262,589
WBGene00016342,2470,1600,1594,246,426
WBGene00016343,760,14261,1260,405,1834
WBGene00016344,141,496,219,55,147
WBGene00016345,429,251,39,36,71
WBGene00016346,218,152,59,125,106
WBGene00016347,34,22,28,3,9
WBGene00016349,15,912,122,11,46
WBGene00016350,8,44,7,5,16
WBGene00016351,2,0,8,748,445
WBGene00016352,2343,1353,1051,482,1086
WBGene00016353,580,540,401,649,474
WBGene00016354,19433,21801,16197,1075,13900
WBGene00016355,6824,1832,1415,81,2118
WBGene00016356,25,20,1,186,579
WBGene00016357,0,0,3,387,197
WBGene00016358,0,5,0,431,518
WBGene00016359,8634,260,50,48,151
WBGene00016360,11,193,109,359,609
WBGene00016361,5,16,90,65,95
WBGene00016362,0,4092,2706,124,1508
WBGene00016363,44,1599,437,30,128
WBGene00016364,1121,790,511,73,211
WBGene00016365,818,573,178,13,165
WBGene00016366,1367,591,261,22,237
WBGene00016367,300,422,156,23,177
WBGene00016368,1228,829,201,16,196
WBGene00016369,0,3,207,0,6
WBGene00016370,47,9,9,1,16
WBGene00016371,183,9,7,0,35
WBGene00016373,1343,1003,1303,657,579
WBGene00016374,5142,3843,2851,2011,3179
WBGene00016375,3303,765,2265,518,1658
WBGene00016376,4901,3926,2378,1445,3217
WBGene00016378,6444,11042,12852,1717,2528
WBGene00016379,396,4310,1676,589,2964
WBGene00016380,2488,1177,1534,1069,1895
WBGene00016381,2279,536,2101,947,701
WBGene00016382,4,15,5,230,172
WBGene00016383,1784,1197,1903,256,773
WBGene00016384,7150,87938,6391,1732,3781
WBGene00016386,327,576,274,5,145
WBGene00016387,3907,862,954,1203,1036
WBGene00016388,7,37,15,90,103
WBGene00016389,3,15,3,68,36
WBGene00016390,983,623,1174,319,1168
WBGene00016391,4832,5163,5314,4392,10617
WBGene00016392,1431,919,3419,5146,4417
WBGene00016393,9330,21764,9753,4859,15682
WBGene00016394,723,506,244,46,369
WBGene00016395,12810,2930,1588,1003,4092
WBGene00016396,1214,5613,2757,52,984
WBGene00016397,1931,941,324,4,96
WBGene00016398,18,19,5,278,621
WBGene00016399,0,3,5,410,105
WBGene00016400,6286,1810,2294,1168,3376
WBGene00016402,84,102,361,234,274
WBGene00016403,193,516,799,45,553
WBGene00016404,2493,1299,1627,930,1572
WBGene00016405,73954,187455,96028,26904,54342
WBGene00016406,2514,11517,1140,390,865
WBGene00016407,1418,226242,66307,3667,15283
WBGene00016408,1776,4615,4786,2650,6342
WBGene00016409,6154,11257,5805,4298,3077
WBGene00016410,22,125,24,44,55
WBGene00016411,2706,1251,2562,451,1515
WBGene00016412,5220,4807,3839,1455,4674
WBGene00016413,3,25,0,157,32
WBGene00016414,1,16,0,100,101
WBGene00016415,6949,176784,32708,4555,19423
WBGene00016416,11,353,100,447,452
WBGene00016417,2,5368,867,207,790
WBGene00016418,6979,17446,7959,7724,12101
WBGene00016419,100,17145,759,4163,15945
WBGene00016420,9,45,89,297,157
WBGene00016421,1161,497,1387,1635,778
WBGene00016422,355180,3361,1682,1057,199390
WBGene00016423,10051,4143,1149,147,1967
WBGene00016424,19,1599,37,372,1688
WBGene00016425,29,1330,38,629,3945
WBGene00016427,174,569,626,262,215
WBGene00016428,56,2347,1877,42,705
WBGene00016429,1769,83,123,6,1155
WBGene00016430,0,6,158,0,4
WBGene00016431,25,1848,310,187,2173
WBGene00016432,2701,10801,4991,784,1841
WBGene00016433,8,13,0,4,9
WBGene00016434,4,21,10,965,6
WBGene00016435,7484,6605,4165,1264,9193
WBGene00016436,6,1048,97,11,271
WBGene00016437,5,11,32,14,10
WBGene00016438,822,6507,2358,303,1435
WBGene00016439,8648,3549,3605,1785,3340
WBGene00016440,46,39,30,1801,1773
WBGene00016441,2,69,4,20,62
WBGene00016442,2470,1275,1135,673,2154
WBGene00016443,2531,5234,3654,1549,2485
WBGene00016444,1428,2545,2956,1588,1643
WBGene00016445,448,274,348,244,306
WBGene00016446,7518,4360,1713,1389,2484
WBGene00016447,1,5,11,1374,1027
WBGene00016448,718,2859,492,18,263
WBGene00016449,5542,1166,1631,1777,1903
WBGene00016450,17,1501,56,1220,2375
WBGene00016451,9,38,26,6,32
WBGene00016452,2737,2352,2034,245,1383
WBGene00016453,1015,185,90,1842,63
WBGene00016454,1893,20263,2434,78,1554
WBGene00016455,119,19,6,90,10
WBGene00016456,11426,16258,1493,82,1055
WBGene00016457,41188,1252,149,5677,122
WBGene00016458,7606,8344,2446,220,1083
WBGene00016459,16,104,0,9,10
WBGene00016460,212,524,815,383,456
WBGene00016461,13,64,171,676,254
WBGene00016462,166,33,2,580,730
WBGene00016463,1350,4630,523,22,417
WBGene00016464,9,306,17,32,34
WBGene00016465,423,1239,151,2,30
WBGene00016466,53,256,234,5,25
WBGene00016467,35,312,1966,3,103
WBGene00016468,84,419,464,63,676
WBGene00016469,11709,10208,4211,1611,6912
WBGene00016470,0,16,26,2,2
WBGene00016471,1,81,85,0,3
WBGene00016472,1,24,2,1,7
WBGene00016473,16,9,0,0,5
WBGene00016474,5,6,16,40,352
WBGene00016475,0,35,102,0,11
WBGene00016476,2,17,4,1,8
WBGene00016477,18,155,117,5,19
WBGene00016479,0,6,123,0,3
WBGene00016480,0,58,78,1,5
WBGene00016481,15,5,0,1,24
WBGene00016483,2,4,0,1,37
WBGene00016484,1,17,1,0,14
WBGene00016485,375,242,16,1927,43
WBGene00016486,166,97,4,477,21
WBGene00016487,16,139,59,4,13
WBGene00016488,74,1485,154,7,117
WBGene00016489,7691,14047,5429,2360,4226
WBGene00016490,4579,5931,1632,353,1746
WBGene00016491,6,27,132,314,155
WBGene00016492,262,131,253,42,236
WBGene00016493,29015,169314,89593,33890,92919
WBGene00016494,5241,3600,4398,875,1747
WBGene00016495,1546,2127,2326,908,959
WBGene00016496,29998,43750,30009,7728,29595
WBGene00016499,722,5434,474,50,348
WBGene00016500,10974,34095,12768,1004,3522
WBGene00016501,2023,2760,3121,3275,581
WBGene00016502,9,49,0,2,30
WBGene00016503,68,718,291,2,109
WBGene00016504,151,1361,778,42,663
WBGene00016505,102,54003,6065,142,2087
WBGene00016506,196,2812,2294,58,677
WBGene00016507,493,9250,2508,390,1178
WBGene00016508,7309,8915,7694,1940,4592
WBGene00016509,6908,91864,86562,10330,16222
WBGene00016511,5640,5386,3025,1107,2894
WBGene00016512,14,88,15,185,202
WBGene00016513,311,16698,8536,134,381
WBGene00016514,165,1179,274,2,78
WBGene00016517,45,191,20,2,54
WBGene00016518,41,1201,108,3,75
WBGene00016519,15,68,30,4,16
WBGene00016520,3885,123,746,334,133
WBGene00016521,5,148,854,9,44
WBGene00016522,156,485,1087,21,217
WBGene00016523,6,17,15,145,116
WBGene00016524,496,1620,1116,621,819
WBGene00016525,0,72,0,0,32
WBGene00016526,0,1,0,1,12
WBGene00016527,56,76,194,0,13
WBGene00016528,84,5,0,0,2
WBGene00016530,404,1785,3329,41,562
WBGene00016531,2283,2203,883,169,756
WBGene00016532,1125,3206,178,5,182
WBGene00016533,505,2974,361,14,386
WBGene00016534,396,2096,1597,49387,1076
WBGene00016535,159,8626,2229,370,2618
WBGene00016537,1,14,1,1,3
WBGene00016538,12,1189,191,17,125
WBGene00016539,9584,13622,4478,445,2919
WBGene00016540,2717,5547,1363,195,1091
WBGene00016541,2,6,19,1492,806
WBGene00016542,1845,5539,2460,233,3017
WBGene00016543,2,53,20,1,6
WBGene00016544,157,353,201,88,728
WBGene00016545,3396,11,1,21,5
WBGene00016546,4593,212,20,29,31
WBGene00016547,3201,20,24,38,18
WBGene00016548,3,2,0,1,4
WBGene00016549,5477,19,1,23,18
WBGene00016550,23,17,4,9,3
WBGene00016551,12,10,306,45,68
WBGene00016554,7,7,0,1,3
WBGene00016555,463,804,1131,85,1254
WBGene00016556,520,189,185,18,141
WBGene00016557,5,14,3,0,3
WBGene00016558,1538,1638,1141,707,915
WBGene00016559,253,1058,943,211,825
WBGene00016561,1401,2764,3639,314,1213
WBGene00016562,6625,18885,5324,3320,5190
WBGene00016564,2294,708,1292,1837,848
WBGene00016565,242,1204,1167,175,310
WBGene00016566,2041,1092,3076,1127,908
WBGene00016567,884,432,491,325,211
WBGene00016568,155,514,467,579,226
WBGene00016570,105,5102,1581,101,629
WBGene00016571,29,173,158,39,171
WBGene00016572,28,108,45,15,83
WBGene00016573,1127,1052,381,1653,664
WBGene00016574,1642,1505,363,561,554
WBGene00016575,1327,4422,624,321,371
WBGene00016576,4087,4029,349,1486,867
WBGene00016577,1,432,7,9,29
WBGene00016578,209,61,2,224,21
WBGene00016579,73,307,349,2,75
WBGene00016580,700,1619,345,15,196
WBGene00016581,9,30,12,13,70
WBGene00016582,3951,3041,4580,2230,4604
WBGene00016583,8531,6684,3273,1384,6407
WBGene00016585,560,1006,503,221,1391
WBGene00016586,633,87,2559,4320,1039
WBGene00016587,24,19,279,167,145
WBGene00016588,3824,3644,2816,1544,3396
WBGene00016589,2954,4243,8677,2090,3116
WBGene00016590,1795,200,811,282,623
WBGene00016591,522,866,1082,344,517
WBGene00016592,877,867,1703,596,870
WBGene00016594,104,29880,4212,8655,11471
WBGene00016595,1621,278,565,82,319
WBGene00016596,4,1667,221,99,3842
WBGene00016597,5,19,1,0,8
WBGene00016598,589,34,60,6,251
WBGene00016599,1229,2966,1606,224,1792
WBGene00016600,160,508,149,15,53
WBGene00016601,6786,9558,6269,3097,3902
WBGene00016602,1141,2865,1909,1146,1393
WBGene00016603,14967,42872,7314,6150,7019
WBGene00016605,195,148,91,237,210
WBGene00016606,5905,5942,3523,1564,3279
WBGene00016607,4702,8836,2654,1947,4200
WBGene00016608,4727,5765,3655,2860,5072
WBGene00016609,1721,1860,936,805,700
WBGene00016610,4330,92536,21701,4103,9189
WBGene00016611,23408,6700,5134,644,7243
WBGene00016612,28,21,62,98,46
WBGene00016613,736,2440,260,31,417
WBGene00016614,4341,5850,1335,375,1675
WBGene00016616,3010,2778,1839,443,2072
WBGene00016617,11767,3216,2023,277,1372
WBGene00016619,1799,1211,245,2,216
WBGene00016620,5330,2007,588,267,1174
WBGene00016621,1820,1136,3445,273,847
WBGene00016622,4846,10141,3357,1083,2011
WBGene00016623,2540,702,2015,709,1117
WBGene00016624,5767,7158,4072,2000,2872
WBGene00016625,4470,466,178,18,1480
WBGene00016626,1227,1528,437,45,793
WBGene00016627,60,143,58,4055,38
WBGene00016628,369,5860,11391,85,529
