GeneName, elongating_embryo_collapse, L1_larva _collapse, L2 larva  collapse, dauer_larva _collapse,L3_larva _collapse,adult _collapse
bar-1,3984,9334,2011,3796,1857,459
bas-1,488,4590,1030,817,2391,601
pah-1,3986,54629,3778,6306,6925,2228
bbs-1,1387,2589,121,500,41,8
bbs-2,2672,731,117,626,74,7
bbs-8,908,3385,208,744,114,15
bca-1,506,11469,2782,1154,1574,778
bcc-1,31,1452,512,2374,1616,122
bec-1,4589,4460,981,6699,1282,1069
ben-1,18665,10913,3108,820,1447,1134
bir-1,8327,5881,1127,1666,721,1199
bir-2,359,478,158,1310,475,1170
bli-1,285,579,49,57,27212,328
bli-2,43,58,43,32,13021,137
bli-3,6702,9630,2849,3409,3724,1368
bli-4,19120,27937,8340,21375,13498,10975
bli-5,12,22,89,49,209,30
bli-6,0,21,8,25,13524,1124
bmk-1,6911,3359,1498,2856,1755,4739
bpl-1,2113,7994,952,4485,1886,1422
bra-1,4270,2230,341,601,240,296
F23H11.5,13479,32951,12508,11577,15374,8164
brc-1,1380,831,375,1408,547,1252
brd-1,2455,941,396,1302,880,1366
bre-1,14089,3713,2235,2831,4988,472
bre-2,1190,1417,135,1075,276,57
bre-3,3973,37553,4445,9056,3653,2912
bre-4,1010,2555,471,1072,956,735
bre-5,1157,923,167,1068,513,347
NA,5662,8397,907,4901,1634,2344
bro-1,4621,124,278,394,65,1
brp-1,5096,468855,19245,348158,21386,21948
btf-1,2639,3356,1115,3611,2749,3578
bub-1,10135,3935,2381,3885,3293,8228
byn-1,12501,81186,5332,55921,5758,3039
cab-1,10094,460434,21366,96231,8136,3488
cah-1,809,1517,202,895,213,68
cah-2,491,1278,249,1121,176,25
cah-3,56,15964,2531,7561,5835,1269
cah-4,2521,42231,5115,9602,8888,3976
cah-5,1789,4959,1069,1018,1903,872
cah-6,556,19315,863,3972,432,93
cal-1,423,2770,453,2724,678,76
cal-2,507,13608,544,6721,448,56
cal-3,303,1175,171,697,236,22
cal-4,38,9645,924,3775,384,47
cam-1,44782,39291,4165,5903,3080,5887
NA,18346,14472,2545,5140,3606,2172
cap-2,16768,39056,3456,13884,5930,5577
cas-1,14984,50473,4577,11994,7070,3906
cat-1,367,8342,366,729,193,53
cat-2,14,1497,98,755,105,29
cat-4,1377,7489,676,1390,2751,1195
cav-1,122158,2488,524,59,32,5023
cav-2,3242,3991,530,1439,555,90
cbp-1,74158,150055,16293,30351,11546,18775
cca-1,3817,24196,2023,5933,1714,347
ccb-1,5188,25011,2727,3777,1676,376
ccf-1,10975,15503,2881,4955,3917,5147
ccg-1,997,120945,3516,33787,5536,2536
cox-5B,19385,24129,12469,19984,15828,8496
cyp-13A7,164,321,19,110,10,2
cyp-14A5,403,3538,405,5326,575,502
NA,2644,7010,1048,4724,1483,341
cyp-44A1,1312,1313,273,1744,961,860
ccr-4,41472,57344,7517,18311,8896,19007
cct-1,11904,45872,14833,27376,18932,18513
cct-2,8771,38967,16433,27331,15958,15110
cct-4,11696,66133,15087,87461,20482,16267
cct-5,20501,146933,27642,84987,34188,30560
cct-6,8596,39430,16783,26417,18669,17893
cdc-6,3264,2342,580,3575,1353,1742
cdc-14,29010,113882,3980,13055,3447,6814
cdc-25.1,3819,4872,739,4582,2255,8598
cdc-25.2,28794,3459,1079,905,690,2581
cdc-25.3,479,24,9,10,3,954
cdc-25.4,77,9,2,11,90,137
NA,29672,60556,3883,14032,7680,5376
cdd-1,3011,9440,794,550,1241,162
cdd-2,1181,2131,1145,1317,1001,1226
cdf-1,4623,12298,1610,2708,1768,1021
cdh-3,38525,3177,2309,841,2985,419
NA,83580,27975,9555,4336,3415,5783
cdh-5,18763,1226,6381,700,1160,107
cdh-7,19,82,5818,335,11124,30
cdh-9,7238,5008,846,112,384,30
cdh-10,142,163,7474,597,12830,48
casy-1,16456,400919,14798,60422,6821,2476
cdk-1,9445,3504,1977,3074,2099,7020
cdk-4,2820,1917,263,130,297,498
cdk-5,3411,11202,855,3638,1293,1361
cdk-7,3986,4128,557,3540,1241,1398
cdk-8,6061,4682,1068,3760,1749,3264
cdk-9,3675,4213,1377,3459,1457,1253
cdl-1,19880,14065,3868,4704,2577,9381
cdr-1,105,338,356,82,99,27
cdt-1,5416,2177,980,1768,1036,2908
cec-1,26571,31068,1809,5210,1984,572
ced-1,9231,64430,3359,10889,4312,6543
ced-2,1592,3953,403,1729,584,1384
ced-3,5597,2481,1034,2193,1005,9487
ced-4,5362,4270,646,1879,881,1452
ced-5,8282,10865,2968,5488,3630,4777
ced-6,4352,10023,695,1928,1322,1634
ced-7,13837,20459,6648,23682,7514,7738
ced-8,2043,81,94,72,55,200
NA,2912,3215,369,1394,457,1931
ced-10,6087,16136,2048,2009,1862,1542
ced-11,8164,2316,1408,2329,664,371
ced-12,4872,7104,881,4506,1756,2319
ced-13,19,4,1,0,0,0
NA,43,371,31,55,20,5
ceh-2,1102,261,35,44,26,2
ceh-5,2721,28,10,25,11,13
ceh-6,3510,5383,494,882,195,15
ceh-7,8,5,1,16,1,1
ceh-8,2387,2563,132,299,11,5
NA,74,212,79,76,35,4
NA,1544,2512,67,307,37,18
ceh-12,12,9,16,92,21,3
NA,8153,9320,1282,3338,436,95
ceh-14,1104,16519,269,672,216,56
ceh-16,2613,2606,169,790,26,21
ceh-17,1293,332,111,183,19,2
ceh-18,374,25291,2819,5491,1773,362
ceh-19,462,401,47,408,106,29
ceh-20,33153,27807,3104,5089,1611,370
NA,1216,3939,346,827,230,1159
ceh-22,4863,3361,212,474,160,14
NA,6,1824,183,344,57,16
ceh-24,1048,1048,89,333,75,6
pros-1,17600,19571,1306,2495,475,50
ceh-27,7071,5053,311,1023,145,24
ceh-28,44,35,7,4,0,0
ceh-30,2168,258,55,84,66,19
ceh-31,1900,2608,154,467,89,3
ceh-32,21427,21923,1279,2890,753,1479
ceh-33,88,2561,63,381,35,3
ceh-34,8992,14126,477,1097,287,48
ceh-36,1037,3915,32,147,23,23
ceh-37,7959,15722,914,1633,668,361
ceh-38,17186,42887,4242,8958,3478,6125
ceh-39,1348,7737,247,404,197,1951
ceh-40,832,694,45,83,17,342
ceh-41,1221,1009,185,526,315,357
ceh-43,13474,4600,677,1112,169,670
ceh-44,18633,19398,1945,6179,3144,3064
cpg-1,1252,1988,291,1291,1495,131827
cel-1,7718,5373,1082,5006,2045,1716
cep-1,817,1643,322,3323,1308,2006
NA,2694,83,38,18,0,6
ces-2,40677,540,29,130,6,34
cey-1,146722,421585,24507,44891,24799,17805
cey-2,2002,619,460,3504,3837,47233
cey-3,1248,284,356,3286,2366,15703
cey-4,20839,83607,13714,20790,22582,34163
cfi-1,4248,7110,547,838,202,18
cft-1,56,1822,584,805,425,66
cfz-2,15042,13780,838,1320,243,427
cgh-1,15519,113106,13826,15463,15983,99913
cgp-1,6725,33332,1992,6051,2687,5617
cha-1,23,5433,322,1153,217,40
chd-3,32575,27459,5341,8520,6638,4362
che-1,324,71,12,30,0,3
che-2,1768,2683,140,540,56,5
che-3,4498,6826,871,4056,430,67
che-6,45,374,20,1065,9,3
NA,390,5030,514,986,114,30
che-11,2244,2182,255,1755,197,15
che-12,2034,4631,540,1783,242,32
che-13,2130,1358,125,445,76,14
che-14,5569,852,1182,171,1175,61
chs-1,503,616,239,1000,1220,26386
chs-2,4990,1027,2950,1005,1174,279
chk-1,1243,2012,493,1688,1104,3901
chk-2,84,629,85,533,329,486
chn-1,5054,2938,560,3167,1123,1276
cho-1,24,8828,579,2681,367,73
