,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00011254,15,2186,62,723,25,4
WBGene00011255,17,410,31,5,34,2
WBGene00011257,12,150,7,58,20,5
WBGene00011258,230,1004,124,222,409,122
WBGene00011259,32362,82997,10321,25917,4028,3110
WBGene00011260,33,87,5,14,171,138
WBGene00011261,4427,2826,302,1616,201,25
WBGene00011262,35,964,199,80,1314,66
WBGene00011263,1126,18990,723,8625,650,152
WBGene00011264,0,39,4,6,3,2
WBGene00011265,64,1622,120,158,72,3
WBGene00011266,59,288,155,41,110,7
WBGene00011267,640,152,26,42,19,49
WBGene00011268,1937,3358,659,1911,1186,1014
WBGene00011269,1100,395,344,615,156,240
WBGene00011270,3508,90533,3539,14009,5181,3650
WBGene00011271,2373,2116,933,3353,2142,1475
WBGene00011272,9904,2264,2314,774,1811,722
WBGene00011273,25008,54247,27287,28757,40085,22194
WBGene00011274,632,1499,549,4228,968,1044
WBGene00011275,893,296,123,544,297,1275
WBGene00011276,1787,16262,2092,19875,2976,3771
WBGene00011277,2,14,1,12,3,9
WBGene00011278,187,212,885,27,366,15
WBGene00011279,7050,54534,3041,5253,1323,3952
WBGene00011280,2213,1689,420,1888,955,417
WBGene00011281,3994,6207,1005,2072,1992,1150
WBGene00011282,3475,24938,1109,5101,2721,5717
WBGene00011283,35532,12790,2554,12311,2864,615
WBGene00011284,13,3321,341,694,588,33
WBGene00011285,1,3858,258,375,186,7
WBGene00011286,31,3572,58,359,173,18
WBGene00011287,124,5885,622,1918,294,33
WBGene00011288,0,385,32,45,8,6
WBGene00011289,63,19512,3220,3160,3165,1008
WBGene00011290,0,24,3,0,98,8
WBGene00011291,1632,6707,1354,1112,3614,978
WBGene00011292,7123,83674,2311,14521,1861,3646
WBGene00011293,238,1787,75,1618,154,15
WBGene00011294,4,27,9,814,24,9
WBGene00011295,0,4,0,1,24,4
WBGene00011296,50,395,38,47,18,0
WBGene00011297,34,26,15,298,148,297
WBGene00011298,1098,4257,475,1591,759,512
WBGene00011299,3052,50365,4217,10666,2297,4434
WBGene00011300,3820,11449,4300,3665,2584,2277
WBGene00011302,5624,5229,1840,4364,4203,3278
WBGene00011303,3693,1973,455,1388,644,406
WBGene00011304,28816,713059,9468,69368,8477,12208
WBGene00011305,753,856,310,935,292,32
WBGene00011306,4544,3484,1673,1477,2079,1059
WBGene00011307,281,92,735,188,1466,48
WBGene00011308,9341,4375,864,3969,2046,1809
WBGene00011309,2181,625,744,627,937,256
WBGene00011310,3121,1344,122,843,154,79
WBGene00011311,5011,12202,1149,12514,2061,2284
WBGene00011312,5938,22350,2094,7934,2756,7980
WBGene00011313,2,86,126,145,72,6
WBGene00011314,2367,891,206,380,216,14
WBGene00011315,148,1720,110,253,162,53
WBGene00011317,4,1215,164,91,167,44
WBGene00011318,1694,1784,753,1680,1102,2268
WBGene00011319,2980,684,225,909,599,1053
WBGene00011320,147,197,12,77,67,5837
WBGene00011321,55,855,210,21,369,105
WBGene00011322,3,12,4,20,157,273
WBGene00011323,4059,7549,918,4843,1467,1308
WBGene00011324,1180,693,360,1143,883,2508
WBGene00011325,95,105,31,751,98,7
WBGene00011326,5018,35041,2638,5560,826,199
WBGene00011327,654,457,6,50,10,2
WBGene00011328,14375,52935,587,14657,776,53
WBGene00011329,2906,4957,955,3352,1731,2817
WBGene00011330,8581,39303,7296,332,19465,9014
WBGene00011331,2315,24315,1055,3813,1062,398
WBGene00011333,13634,8579,3034,11663,10048,3800
WBGene00011334,4019,5399,975,3623,2837,1028
WBGene00011335,808,1647,155,41,448,145
WBGene00011336,12,34,5,0,42,253
WBGene00011337,218,23648,1713,5194,544,83
WBGene00011338,10979,17926,4589,7517,7305,5822
WBGene00011339,1772,977,286,942,660,84
WBGene00011340,6,277,56,184,250,48
WBGene00011341,0,16,1,7,0,0
WBGene00011342,164,27,3,13,5,310
WBGene00011344,12890,14872,1602,4750,1781,2424
WBGene00011345,17853,5028,1370,2190,480,63
WBGene00011348,2990,4029,1441,3916,2738,1751
WBGene00011349,13803,8845,2181,5900,3966,2622
WBGene00011350,165,583,90,566,271,4687
WBGene00011351,119,260,26,117,157,22
WBGene00011352,1496,55574,4013,10816,2056,12621
WBGene00011353,1156,1296,489,787,1201,177
WBGene00011354,9,321,11,1668,11,15
WBGene00011355,35,132,51,26,20,1
WBGene00011356,0,14,11,1,0,0
WBGene00011358,0,29,0,24,0,0
WBGene00011359,1,49,6,1,0,0
WBGene00011360,1,72,14,19,7,0
WBGene00011361,4984,1684,783,8130,1531,481
WBGene00011362,4,179,738,65,679,99
WBGene00011363,33,84,8,9,2,4
WBGene00011364,29,1530,459,1020,493,240
WBGene00011365,1360,44,28,156,74,49
WBGene00011366,1941,550,162,233,249,81
WBGene00011367,2077,1119,439,2144,758,994
WBGene00011368,3633,1383,597,2387,928,1607
WBGene00011371,18,2750,111,477,78,15
WBGene00011372,19,5803,270,2613,176,23
WBGene00011373,0,1,1,0,1,4
WBGene00011374,356,2246,1263,317,2486,446
WBGene00011375,3563,3009,729,3213,1682,1744
WBGene00011376,963,1838,502,1806,1106,7258
WBGene00011378,0,31,2,2,179,203
WBGene00011379,0,38,2,4,456,67
WBGene00011380,1993,6022,346,654,393,26
WBGene00011381,90,2334,366,1412,147,13
WBGene00011382,156,14791,642,3890,341,60
WBGene00011383,171471,21518,5134,3656,906,153
WBGene00011384,76,683,122,52,72,44
WBGene00011385,274,1201,251,21,157,79
WBGene00011386,2,16,0,3,1,2
WBGene00011387,14,18,2,1,0,3
WBGene00011388,220,57,14,21,1,411
WBGene00011389,2,5,0,0,2,12
WBGene00011390,3,22,5,26,1,9
WBGene00011391,2990,3219,1598,3031,2329,669
WBGene00011392,2392,177213,5935,65537,3256,748
WBGene00011393,10095,2775,4161,4565,4532,387
WBGene00011394,11,459,90,37,140,54
WBGene00011395,1,12,0,57,0,0
WBGene00011396,26,41,9,19,3,2
WBGene00011397,19,3920,247,70,532,179
WBGene00011398,14407,36635,2583,2462,6785,2246
WBGene00011399,1905,3440,526,639,1434,3226
WBGene00011400,127,16064,229,5568,400,48
WBGene00011401,11,184,6,1212,249,226
WBGene00011402,42,66,14,94,9,0
WBGene00011403,1,25,10,17,2,2
WBGene00011404,1044,4632,691,3634,980,144
WBGene00011407,575,1078,610,5445,1184,564
WBGene00011408,7115,5878,1801,4515,2851,2710
WBGene00011409,2770,28167,5856,7666,4463,7375
WBGene00011410,4155,2849,483,4165,1261,3753
WBGene00011411,1697,1507,272,1252,591,652
WBGene00011412,3574,3269,1467,2276,2486,906
WBGene00011414,29,58,5,14,114,361
WBGene00011415,1345,1406,379,2402,1119,1733
WBGene00011420,34,10,3,28,1,0
WBGene00011421,27,697,9,525,5,1
WBGene00011422,2407,1002,437,851,841,63
WBGene00011423,1886,31839,2177,19991,3579,818
WBGene00011424,6,2690,80,1173,63,50
WBGene00011425,2,83,9,19,12,33
WBGene00011426,7,251,15,45,3,0
WBGene00011427,6827,830,36,7626,2,2
WBGene00011428,298,8105,3571,5308,817,71
WBGene00011429,16,1563,62,9146,108,54
WBGene00011430,327,1287,361,383,545,118
WBGene00011431,407,206,36,50,12,748
WBGene00011432,149,45,9,1,5,563
WBGene00011433,277,20663,1000,5027,609,114
WBGene00011434,7907,1417,220,159,115,2083
WBGene00011435,89,22,19,375,55,55
WBGene00011436,3987,13546,13175,30299,13572,3608
WBGene00011438,10,23,4,23,90,209
WBGene00011439,2185,353,314,843,659,78
WBGene00011440,602,8756,821,879,1644,1232
WBGene00011441,6752,2705,956,1897,1388,920
WBGene00011442,76,478,129,445,195,38
WBGene00011443,3350,386,87,106,125,3
WBGene00011444,7359,5830,1603,2871,1777,603
WBGene00011445,118,7603,417,2125,589,154
WBGene00011446,47,3012,917,151,5643,2692
WBGene00011447,5476,2417,679,218,31,18
WBGene00011449,5167,28177,4706,17408,2978,7038
WBGene00011450,5,461,54,221,258,11
WBGene00011451,1275,1279,222,1076,404,697
WBGene00011452,28,1792,185,2844,230,12
WBGene00011453,564,1648,93,192,55,9
WBGene00011454,547,1699,383,1127,190,29
WBGene00011456,47,1903,169,954,168,15
WBGene00011458,7,18,2,7,0,2
WBGene00011460,7,42,9,12,128,456
WBGene00011462,9,467,15,374,27,163
WBGene00011463,1,2423,201,170,115,22
WBGene00011464,1648,4033,500,5043,2638,8041
WBGene00011465,12,664,24,351,12,5
WBGene00011466,6,27,7,46,182,195
WBGene00011467,6,63,5,80,130,34
WBGene00011468,1849,246,110,408,632,11
WBGene00011469,7,5,3,2,6,19
WBGene00011471,39,4276,117,953,59,15
WBGene00011472,15,25,26,23,43,20
WBGene00011473,20,1612,118,1341,84,3
WBGene00011474,2111,75950,12243,26983,14911,7540
WBGene00011475,373,201,15,40,4,502
WBGene00011476,1036,3542,529,500,212,33
WBGene00011478,10,42,10,4,98,174
WBGene00011479,493,1798,241,1087,331,73
WBGene00011480,207496,119768,68389,45682,95793,24969
WBGene00011481,33603,15176,13642,7644,15759,8939
WBGene00011484,789,397,63,236,126,43
WBGene00011485,0,11,0,113,1,1
WBGene00011486,0,0,2,116,11,112
WBGene00011487,86,578,1582,48,8428,2090
WBGene00011488,13999,13490,6137,5327,10651,6410
WBGene00011489,922,286,140,1956,521,6663
WBGene00011490,2065,3450,370,1146,582,1297
WBGene00011491,0,17,2,29,301,285
WBGene00011492,34,93,3,334,7,2
WBGene00011493,28,179,18,796,447,205
WBGene00011494,166,168,60,33,185,8
WBGene00011495,758,2338,638,575,1167,88
WBGene00011497,4327,1188,154,996,351,114
WBGene00011498,16510,4646,1472,2499,2201,410
WBGene00011499,10,13,3,18,23,22
WBGene00011500,1885,5928,633,2509,954,790
WBGene00011501,1400,1679,109,2856,411,13894
WBGene00011502,5181,3818,931,2140,1658,1703
WBGene00011503,2968,1775,691,1707,1653,1434
WBGene00011505,59,63,9,6,3,593
WBGene00011507,3906,20022,4616,11312,7596,8346
WBGene00011508,35136,254,15,1758,54,18
WBGene00011509,11501,669,97,73,422,2726
WBGene00011510,5382,62350,15843,32830,19805,15772
WBGene00011511,5615,15037,3102,8309,6364,4438
WBGene00011512,81,394,82,1627,132,21
WBGene00011513,182,150,51,1592,272,164
WBGene00011515,8,172,6,66,48,2
WBGene00011516,2,9,3,6,0,0
WBGene00011517,1738,2112,552,3014,649,61
WBGene00011518,0,8,0,175,0,0
WBGene00011519,45,9,1,8,0,0
WBGene00011520,1307,2454,134,412,122,13
WBGene00011521,26,4762,7,15,0,0
WBGene00011522,629,219325,12570,79013,9167,5203
WBGene00011523,13,2827,80,251,44,3
WBGene00011524,14706,2179,2009,141,750,41
WBGene00011526,2249,2727,1317,3866,2222,1842
WBGene00011527,4835,22371,2956,11092,5197,5492
WBGene00011528,3034,5000,730,2397,853,798
WBGene00011529,4229,8739,997,3212,2446,3252
WBGene00011530,583,681,3607,774,1949,62
WBGene00011531,20530,51815,7320,6283,3418,461
WBGene00011532,4570,1405,531,2515,1234,2254
WBGene00011533,10,48,1,0,37,12
WBGene00011534,45,2006,72,178,5,1
WBGene00011535,8,40,180,17,230,20
WBGene00011536,0,20,104,13,313,7
WBGene00011537,0,38,250,46,374,8
WBGene00011538,3043,4793,792,5242,1467,953
WBGene00011539,1445,241,42,567,17,12
WBGene00011540,4,1917,261,455,938,397
WBGene00011541,1,16,3,92,1,0
WBGene00011542,8,24,9,32,25,15
WBGene00011543,1590,3451,511,3146,1592,1180
WBGene00011544,0,167,8,1,0,0
WBGene00011545,106,3089,171,440,34,3
WBGene00011546,2,364,61,142,165,20
WBGene00011547,0,25,3,0,1,0
WBGene00011548,82,27,1792,47,1871,16
WBGene00011550,4,197,12,13,9,4
WBGene00011551,91,348,139,441,61,4
WBGene00011552,0,104,21,6,9,12
WBGene00011553,0,260,14,3,3,1
WBGene00011554,100,254,47,337,382,82
WBGene00011556,12,580,105,24,222,141
WBGene00011557,6,52,4,2,9,5
WBGene00011558,2650,23772,4339,4891,8397,6177
WBGene00011559,446,2843,2806,2519,3184,3967
WBGene00011560,5493,4809,1982,4521,3622,12877
WBGene00011561,167,41379,5168,24328,13217,12834
WBGene00011562,2167,2321,496,1936,1525,2057
WBGene00011563,356,810,101,357,159,66
WBGene00011564,12454,12029,2016,3194,2237,675
WBGene00011565,3,47,8,36,0,1
WBGene00011566,0,154,23,23,1,0
WBGene00011568,16,107,10,7,4,1
WBGene00011570,0,16,5,6,0,0
WBGene00011571,467,20537,2793,2622,7178,4809
WBGene00011572,1621,183,427,37,61,3
WBGene00011573,6579,13356,2384,8913,5982,1705
WBGene00011574,0,21,2,8,0,0
WBGene00011575,148,1474,227,1378,174,37
WBGene00011576,1140,336,253,1745,549,639
WBGene00011577,0,2,3,2,3,0
WBGene00011578,178,2242,124,174,119,71
WBGene00011579,114,9662,673,2285,1022,138
WBGene00011580,12618,7853,2652,10025,7225,7365
WBGene00011581,10,661,25,115,7,9
WBGene00011582,29,537,32,2766,9,33
WBGene00011583,0,1277,19,8,53,111
WBGene00011586,16,3783,298,2645,234,52
WBGene00011587,1077,2496,678,1636,928,689
WBGene00011589,3423,2687,705,2189,875,1388
WBGene00011590,2531,22786,3081,460,1875,71
WBGene00011591,215,104,35,168,69,95
WBGene00011592,547,365,63,37,89,28
WBGene00011593,9,202,56,1364,41,7
WBGene00011594,379,21,314,19,239,4
WBGene00011595,1,8,3,796,2,0
WBGene00011596,6,1616,47,2155,20,41
WBGene00011597,655,335,141,2789,704,1341
WBGene00011600,305,145,30,1125,329,443
WBGene00011601,384,160,101,2313,569,807
WBGene00011604,6909,7241,3586,4695,3474,4124
WBGene00011605,19526,34194,6524,10839,8386,9483
WBGene00011609,3,67,11,43,17,21
WBGene00011610,17,66,21,137,36,23
WBGene00011611,37,342,14,100,45,74
WBGene00011612,86,138,19,131,63,75
WBGene00011613,144,677,71,454,131,116
WBGene00011614,3526,4328,341,560,282,712
WBGene00011615,2375,1355,193,637,266,865
WBGene00011616,0,195,10,35,32,5
WBGene00011617,1,10,4,6,422,69
WBGene00011618,4,3,0,0,0,0
WBGene00011619,12,1,11,7,91,19
WBGene00011620,10,11,3,43,1,0
WBGene00011621,2,1,2,2,11,0
WBGene00011622,9,262,18,3,15,25
WBGene00011623,0,21,4,18,0,0
WBGene00011624,650,77,290,380,178,5
WBGene00011625,6897,4678,1521,5199,2383,5556
WBGene00011629,4761,48212,13461,45083,23305,19802
WBGene00011630,30,1362,138,233,76,3
WBGene00011631,3799,6569,830,6277,1904,1563
WBGene00011633,2810,1737,162,611,188,56
WBGene00011634,2891,10111,894,3116,1964,1291
WBGene00011635,3679,1088,613,1411,1254,860
WBGene00011636,4325,3857,554,2843,1187,2146
WBGene00011637,6047,1893,1099,2586,1815,1196
WBGene00011638,23104,25514,6353,6514,15303,9570
WBGene00011639,4963,53015,2967,10055,3215,2243
WBGene00011640,15,107,18,368,23,2
WBGene00011641,1812,1425,560,793,1291,909
WBGene00011642,1269,516,39,300,165,740
WBGene00011643,276,1213,163,528,199,16
WBGene00011644,6,10467,150,341,65,8
WBGene00011645,2073,7256,1207,2015,1609,2615
WBGene00011646,15,163,64,69,17,4
WBGene00011647,41121,36947,5862,17688,7231,10713
WBGene00011648,10563,3974,2114,3247,2743,1503
WBGene00011649,7,31,12,37,3,2
WBGene00011650,8,42,6,0,0,1
WBGene00011651,13,1184,4,4,1,2
WBGene00011652,1,1,1,0,0,0
WBGene00011653,0,14,4,1,0,0
WBGene00011654,3,16,6,0,1,0
WBGene00011655,0,25,4,2,0,1
WBGene00011656,11,17,4,1,1,0
WBGene00011657,56,55,5,1,1,0
WBGene00011658,8,39,4,2,1,0
WBGene00011659,5,154,5,0,0,0
WBGene00011661,6375,7786,1362,3933,2107,395
WBGene00011662,2517,16045,1668,13092,3187,4755
WBGene00011663,548,712,135,598,174,240
WBGene00011664,867,1477,240,1044,479,819
WBGene00011665,5364,25,392,138,538,0
WBGene00011666,7,48,6,572,3,0
WBGene00011668,0,704,49,10,315,115
WBGene00011669,0,369,3,46,63,116
WBGene00011670,6,441,87,43,186,46
WBGene00011671,8,54,8,18,17,4
WBGene00011672,205,1430,331,1064,153,40
WBGene00011673,603,1295,125,620,109,4
WBGene00011674,6,117,7,41,13,3
WBGene00011675,537,442,57,531,30,6
WBGene00011676,692,965,1386,8023,2644,97
WBGene00011677,341,222,19,557,31,3
WBGene00011678,183,867,76,161,47,9
WBGene00011679,6870,18975,6949,4529,9411,3141
WBGene00011680,4110,27929,1596,2774,1828,3418
WBGene00011681,1225,65749,2316,12171,2780,730
WBGene00011682,8,1348,205,1598,95,12
WBGene00011683,5,3043,662,45,668,120
WBGene00011684,253,8125,704,1225,1377,237
WBGene00011685,1,66,4,9,1,3
WBGene00011687,3866,4292,744,3054,1553,2918
WBGene00011688,2448,6072,1747,2005,1857,3796
WBGene00011689,26,118,10,33,20,701
WBGene00011690,7,11,1,2,1,10
WBGene00011691,230,126,22,53,27,291
WBGene00011692,2861,12754,497,8379,286,97
WBGene00011693,27,183,23,119,12,1
WBGene00011694,935,1324,1177,231,2486,291
WBGene00011695,9,481,37,64,10,0
WBGene00011696,7561,7796,2396,4041,2601,1971
WBGene00011697,0,62,7,97,5,3
WBGene00011698,652,139,13,477,42,3
WBGene00011699,185,1588,7,44301,71,46
WBGene00011701,2,105,19,50,3,1
WBGene00011702,0,219,12,254,2,0
WBGene00011703,5,46,9,4,1,0
WBGene00011704,38,3,4,37,0,163
WBGene00011705,1299,2699,196,2074,333,54
WBGene00011706,1624,39,24,46,57,180
WBGene00011707,834,283,230,311,220,53
WBGene00011708,15,3465,657,4657,680,82
WBGene00011709,23,652,60,366,21,4
WBGene00011710,1,15,4,14,1,1
WBGene00011712,8,120,18,81,31,13
WBGene00011713,2569,3695,2214,742,3625,1521
WBGene00011715,4,23,2,1,1,1
WBGene00011716,1,6,9,4,0,4
WBGene00011717,5664,3862,1034,4355,1982,678
WBGene00011718,314,2355,170,3522,689,171
WBGene00011719,5146,1212,738,2037,1650,217
WBGene00011720,7337,18663,2812,7909,4172,4158
WBGene00011721,6,6,1,1,31,4
WBGene00011722,9698,25004,2238,6775,3600,5202
WBGene00011723,648,30315,1220,9886,971,340
WBGene00011724,0,13,1,0,18,1
WBGene00011725,9,1108,458,187,540,96
WBGene00011726,1495,11872,332,5716,447,138
WBGene00011727,81,2450,100,1832,239,76
WBGene00011729,28552,51078,4625,7366,4251,9931
WBGene00011730,9698,15617,3107,5412,4059,2305
WBGene00011731,1349,1473,403,1140,623,985
WBGene00011732,739,20494,1054,6069,1005,246
WBGene00011733,154,7037,1684,4773,553,345
WBGene00011734,22382,10087,2882,4500,3415,2337
WBGene00011735,6713,22138,4866,9458,5372,7791
WBGene00011736,4722,40001,4499,13590,7806,2895
WBGene00011737,42427,164553,7507,80034,4822,2563
WBGene00011738,21901,16204,5266,8534,5629,3139
WBGene00011739,13335,1383,425,1005,655,608
WBGene00011740,5751,4385,1696,3465,2528,2053
WBGene00011741,1240,306,26,111,28,1485
WBGene00011742,3376,3458,1229,1990,1638,1104
WBGene00011743,2554,1112,1054,4170,1750,1170
WBGene00011744,96,74,231,11,444,3
WBGene00011745,27,420,141,723,71,6
WBGene00011746,963,6495,521,2301,1819,6364
WBGene00011747,5850,2710,774,4182,1915,2727
WBGene00011749,13,39,3,5,26,24
WBGene00011750,1370,9,8,0,7,0
WBGene00011751,0,7,1,1,0,0
WBGene00011752,161,781,73,292,117,23
WBGene00011753,8,111,14,1667,998,1241
WBGene00011754,7,821,132,137,31,11
WBGene00011755,7015,22934,2459,7061,2459,458
WBGene00011756,4985,3151,1253,1235,1735,257
WBGene00011757,431,97,567,45,227,12
WBGene00011758,10932,5108,1807,4595,2889,1982
WBGene00011759,3163,3734,1162,3711,2484,1014
WBGene00011760,13472,4528,953,1073,1034,156
WBGene00011761,4964,4611,1315,3938,2844,2102
WBGene00011762,1409,260,485,457,188,5
WBGene00011763,27062,378142,12101,34315,1747,231
WBGene00011765,212,3276,411,641,246,46
WBGene00011767,8499,3468,1326,2248,2385,590
WBGene00011768,20894,19740,8921,27711,5513,896
WBGene00011770,891,29,21,211,64,22
WBGene00011771,15817,11532,7292,6195,11948,2652
WBGene00011772,16,1225,174,445,173,29
WBGene00011773,3968,8073,1084,2214,1917,849
WBGene00011774,1107,557,181,831,347,78
WBGene00011777,139,108,26,119,510,302
WBGene00011778,5,5,4,2,0,0
WBGene00011779,0,16,4,0,0,0
WBGene00011780,0,11,2,0,0,1
WBGene00011781,4,17,6,0,0,0
WBGene00011782,0,7,2,0,0,0
WBGene00011783,0,43,0,1,0,0
WBGene00011784,1,59,4,0,0,1
WBGene00011785,2,39,4,0,0,1
WBGene00011786,20,12,5,0,4,0
WBGene00011788,244,225,50,563,265,409
WBGene00011789,30,108,3,9,102,15
WBGene00011790,12,29,3,2,3,30
WBGene00011791,92,66,18,4,1,307
WBGene00011793,79,198,27,140,213,24
WBGene00011794,4773,7629,2001,7939,1076,170
WBGene00011795,201,197,39,142,576,897
WBGene00011796,3182,329,2467,77,1607,12
WBGene00011797,6,25,14,0,16,13
WBGene00011798,13,750,553,176,515,150
WBGene00011799,32,472,94,794,153,141
WBGene00011800,16,542,932,29,617,152
WBGene00011801,78,6865,562,5047,433,800
WBGene00011802,15469,14772,5073,4397,6973,2414
WBGene00011803,4017,2120,10297,108,11011,2514
WBGene00011804,452,557,248,977,1170,2127
WBGene00011805,2269,928,71,728,329,1314
WBGene00011806,7935,7886,2066,4309,2621,3375
WBGene00011807,4990,4094,1098,2967,1958,2579
WBGene00011808,0,29,13,1,142,517
WBGene00011809,3875,63,11,253,21,453
WBGene00011810,23,34,2,3,34,27
WBGene00011811,62,199,36,362,84,94
WBGene00011812,37,102,14,71,48,49
WBGene00011813,1823,4063,402,4166,1103,636
WBGene00011814,2582,4337,871,3115,1432,1815
WBGene00011815,16239,83157,3464,9365,2736,2938
WBGene00011816,1,3,5,121,0,0
WBGene00011817,19,5759,215,1888,257,48
WBGene00011818,2,27,10,60,2,0
WBGene00011819,688,415,165,831,644,1211
WBGene00011820,3654,2809,690,617,754,1040
WBGene00011821,1908,2571,665,818,944,104
WBGene00011822,73,172,23,25,55,5
WBGene00011823,1217,8418,325,2148,367,299
WBGene00011824,781,19235,463,1363,652,192
WBGene00011826,453,340,95,148,180,26
WBGene00011827,8724,14143,3507,5333,3116,2096
WBGene00011828,7350,4942,1941,4601,1806,1093
WBGene00011829,55,323,87,186,232,25
WBGene00011830,3046,3088,565,481,998,228
WBGene00011831,49129,1546,18594,1828,21584,1285
WBGene00011832,7904,3077,635,4393,1362,328
WBGene00011833,26534,1315,3202,581,3165,344
WBGene00011834,1333,1310,173,2212,531,2400
WBGene00011836,1232,86,612,183,808,32
WBGene00011837,0,75,7,48,3,0
WBGene00011838,26643,4628,2028,70,1269,19
WBGene00011839,105,2363,205,1143,457,114
WBGene00011840,0,6,2,2,0,0
WBGene00011841,5,194,29,123,7,5
WBGene00011844,147,2045,159,629,513,8
WBGene00011846,141,89,36,35,65,21
WBGene00011847,37,71,6,23,0,2
WBGene00011848,1,13,8,20,0,6
WBGene00011849,8918,49386,1297,5316,809,769
WBGene00011850,2554,8054,777,3442,1708,460
WBGene00011851,20,70,12,8,22,2
WBGene00011852,295,206,108,35,466,67
WBGene00011853,90,195,14,27,35,6
WBGene00011854,2,5043,524,472,413,127
WBGene00011855,1,17,4,1,2,1
WBGene00011856,3645,30470,16280,3423,20820,3105
WBGene00011857,6324,3683,1599,5260,3107,605
WBGene00011858,1669,12087,491,2708,1362,929
WBGene00011859,2213,2701,586,4782,1183,838
WBGene00011864,5901,5384,906,2319,1525,567
WBGene00011867,67917,114988,46055,39012,34515,34653
WBGene00011868,635,5367,411,1664,467,125
WBGene00011869,5493,335191,7135,26509,9735,1480
WBGene00011870,204,2025,2631,1070,2115,449
WBGene00011871,1753,2949,529,1114,470,816
WBGene00011872,2294,1253,181,561,349,443
WBGene00011873,96,342,16,174,25,2
WBGene00011874,37,94,2,18,2,1
WBGene00011875,9437,4621,2477,8426,4346,1229
WBGene00011876,0,126,3,4,0,0
WBGene00011877,147,44,27,24,6,0
WBGene00011878,153,1963,298,308,64,16
WBGene00011879,351,1815,217,1543,375,159
WBGene00011880,350,129642,9201,274,7226,2675
WBGene00011882,353,26,69,138,65,2
WBGene00011883,4069,7712,1246,5428,2048,1032
WBGene00011884,7806,134107,29766,51693,55413,37625
WBGene00011885,9420,8744,3522,9651,6075,7229
WBGene00011886,1287,687,403,2297,1978,1968
WBGene00011887,4442,10110,760,3117,1618,1242
WBGene00011888,1152,11545,1185,2624,565,67
WBGene00011890,5146,4234,1145,2810,1882,2845
WBGene00011891,310,31950,3120,50839,13071,3268
WBGene00011892,9535,1209,1919,3044,1223,1233
WBGene00011893,1655,1436,1175,2036,2243,531
WBGene00011894,12,3623,324,1992,237,38
WBGene00011895,15,736,224,23,647,23
WBGene00011896,13,345,39,324,33,8
WBGene00011897,9224,35985,3888,12108,5562,2923
WBGene00011898,1099,486,40,548,102,2805
WBGene00011899,458,6810,1408,1370,83,25
WBGene00011900,19,27,2,7,19,30
WBGene00011902,58,239,4,23,1,0
WBGene00011903,335,35,6,62,2,0
WBGene00011904,28189,59071,7117,6836,5790,2072
WBGene00011906,22157,235,385,51,576,74
WBGene00011908,1333,929,429,1872,973,2641
WBGene00011909,3,8,3,1,20,126
WBGene00011910,3,21,46,27,2199,1376
WBGene00011911,0,5,5,3,151,195
WBGene00011912,7294,7460,1722,6251,2095,3139
WBGene00011913,19,144,14,34,19,3
WBGene00011915,708,178,212,246,73,225
WBGene00011916,1181,1301,265,997,304,435
WBGene00011917,12896,3291,1278,5314,1980,1514
WBGene00011918,3,37,9,349,567,316
WBGene00011919,1,8,3,1486,131,54
WBGene00011920,5149,2839,591,2085,635,351
WBGene00011921,5,11,0,0,1,1
WBGene00011922,1,56,8,53,3,2
WBGene00011923,168,1212,115,616,117,163
WBGene00011924,2039,600,148,719,222,59
WBGene00011925,391,164,14,25,39,73
WBGene00011926,243,233,51,271,227,29
WBGene00011927,88,1413,163,3305,406,37
WBGene00011928,83,435,162,128,132,40
WBGene00011929,0,3,4,0,2,24
WBGene00011930,1078,542,526,891,418,144
WBGene00011931,16,1320,51,854,16,9
WBGene00011932,5275,5862,2385,2519,3585,1927
WBGene00011933,3,64,12,34,27,2
WBGene00011934,155,32,4,24,12,3
WBGene00011935,2011,10381,655,4486,581,666
WBGene00011936,4293,9351,1668,3570,3349,1478
WBGene00011937,8,256,20,51,2,0
WBGene00011938,10825,2063,13717,799,5192,795
WBGene00011939,6538,8389,2555,6384,2636,4244
WBGene00011940,8757,30193,3795,4858,3490,5459
WBGene00011941,433,540,69,817,224,213
WBGene00011942,0,2,2,7,0,0
WBGene00011943,0,17,2,23,1,0
WBGene00011944,10382,43799,1889,37263,3614,2125
WBGene00011945,2189,775,365,3432,1079,3827
WBGene00011948,8213,1418,160,561,69,7
WBGene00011949,47,48,168,9,145,18
WBGene00011950,31,5,28,2,60,2
WBGene00011951,24,30,5,40,237,362
WBGene00011952,387,234,254,135,851,8
WBGene00011953,19249,69068,11566,16114,7783,3366
WBGene00011954,5,67,4,11,264,191
WBGene00011955,1424,27916,2036,8332,1205,152
WBGene00011956,12072,2011,435,2271,458,294
WBGene00011957,38,409,31,183,47,23
WBGene00011958,74,492,14,652,9,1
WBGene00011959,431,404,133,2205,464,771
WBGene00011960,78,274,165,49,28,2
WBGene00011961,1,3,0,2,2,8
WBGene00011962,11523,29440,2121,10285,3167,6499
WBGene00011963,548,542,41,133,41,25
WBGene00011964,3637,13326,716,2537,710,224
WBGene00011965,3582,1567,737,2555,1540,487
WBGene00011966,15845,21940,2481,59291,2501,1167
