,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00000452,1900,2608,154,467,89,3
WBGene00000453,21427,21923,1279,2890,753,1479
WBGene00000454,88,2561,63,381,35,3
WBGene00000455,8992,14126,477,1097,287,48
WBGene00000457,1037,3915,32,147,23,23
WBGene00000458,7959,15722,914,1633,668,361
WBGene00000459,17186,42887,4242,8958,3478,6125
WBGene00000460,1348,7737,247,404,197,1951
WBGene00000461,832,694,45,83,17,342
WBGene00000462,1221,1009,185,526,315,357
WBGene00000463,13474,4600,677,1112,169,670
WBGene00000464,18633,19398,1945,6179,3144,3064
WBGene00000465,1252,1988,291,1291,1495,131827
WBGene00000466,7718,5373,1082,5006,2045,1716
WBGene00000467,817,1643,322,3323,1308,2006
WBGene00000468,2694,83,38,18,0,6
WBGene00000469,40677,540,29,130,6,34
WBGene00000472,146722,421585,24507,44891,24799,17805
WBGene00000473,2002,619,460,3504,3837,47233
WBGene00000474,1248,284,356,3286,2366,15703
WBGene00000475,20839,83607,13714,20790,22582,34163
WBGene00000476,4248,7110,547,838,202,18
WBGene00000477,56,1822,584,805,425,66
WBGene00000478,15042,13780,838,1320,243,427
WBGene00000479,15519,113106,13826,15463,15983,99913
WBGene00000480,6725,33332,1992,6051,2687,5617
WBGene00000481,23,5433,322,1153,217,40
WBGene00000482,32575,27459,5341,8520,6638,4362
WBGene00000483,324,71,12,30,0,3
WBGene00000484,1768,2683,140,540,56,5
WBGene00000485,4498,6826,871,4056,430,67
WBGene00000487,45,374,20,1065,9,3
WBGene00000488,390,5030,514,986,114,30
WBGene00000490,2244,2182,255,1755,197,15
WBGene00000491,2034,4631,540,1783,242,32
WBGene00000492,2130,1358,125,445,76,14
WBGene00000493,5569,852,1182,171,1175,61
WBGene00000496,503,616,239,1000,1220,26386
WBGene00000497,4990,1027,2950,1005,1174,279
WBGene00000498,1243,2012,493,1688,1104,3901
WBGene00000499,84,629,85,533,329,486
WBGene00000500,5054,2938,560,3167,1123,1276
WBGene00000501,24,8828,579,2681,367,73
WBGene00000502,2685,3261,1286,3958,2444,1328
WBGene00000503,20295,25533,803,252,208,7003
WBGene00000506,2243,2000,383,1394,533,463
WBGene00000507,4567,10148,1339,3277,1520,1375
WBGene00000508,10719,33091,3375,8633,3252,3019
WBGene00000509,2774,15613,611,4909,1494,1209
WBGene00000510,1274,8363,796,2431,795,162
WBGene00000511,677,678,219,706,620,58
WBGene00000512,826,619,209,345,1599,199
WBGene00000513,36,187,52,7,1,1
WBGene00000514,2248,1297,515,429,1062,222
WBGene00000515,1059,1971,750,1131,2252,342
WBGene00000516,27032,2956,484,697,662,108
WBGene00000517,3799,8089,676,2554,925,1469
WBGene00000518,1321,19152,943,1866,525,116
WBGene00000519,1200,3896,608,2041,1212,1654
WBGene00000520,1193,1799,663,3374,1025,1426
WBGene00000521,3342,227,2253,12,350,1
WBGene00000522,118,3863,367,460,1213,280
WBGene00000523,5843,1931,455,503,717,104
WBGene00000524,580,2624,429,463,374,177
WBGene00000525,6,217,8,7,1,16
WBGene00000526,10287,3133,574,840,722,85
WBGene00000527,7218,25461,3140,2830,2186,2694
WBGene00000528,1672,31084,1525,19691,4118,3244
WBGene00000529,45,16280,827,5006,436,108
WBGene00000530,205,4588,451,11794,948,1265
WBGene00000531,4,4714,331,285,344,47
WBGene00000532,9880,14890,2448,5146,4223,4049
WBGene00000533,2061,3380,583,1786,1185,1310
WBGene00000534,27886,24308,6334,27754,5140,6208
WBGene00000535,135,3583,403,7248,1533,2237
WBGene00000536,2402,4452,635,3381,1095,562
WBGene00000539,340,103,270,55,733,129
WBGene00000540,1287,2267,337,1436,530,363
WBGene00000541,401,1653,379,1218,1396,150
WBGene00000542,4222,75301,7022,41017,13317,8272
WBGene00000543,3980,2500,1028,3358,1867,1278
WBGene00000544,21,186,17,152,77,140
WBGene00000545,1636,21603,1295,8821,1808,1018
WBGene00000546,7,36,19,119,122,247
WBGene00000547,4624,7582,2016,4925,4105,3210
WBGene00000548,34515,49404,5484,14707,4964,6473
WBGene00000549,9677,20399,5952,8835,7491,7746
WBGene00000550,23691,35099,14360,14199,17957,12005
WBGene00000551,0,544,2,334,1,0
WBGene00000552,48689,376200,25580,40310,23176,10057
WBGene00000553,2888,17843,1725,2256,410,80
WBGene00000554,11303,39550,2276,5465,2555,633
WBGene00000555,0,2,4,96,0,0
WBGene00000556,2,117,57,14,80,43
WBGene00000557,796,1632,1305,89,1226,164
WBGene00000558,3,1689,334,42,164,185
WBGene00000559,0,4,1,313,0,0
WBGene00000560,0,745,35,4507,7,18
WBGene00000561,7389,306,489,346,12,23
WBGene00000562,567,582,124,200,59,60
WBGene00000563,41,280,45,209,36,4
WBGene00000564,6149,23783,1475,3162,1290,2170
WBGene00000565,4866,10418,4185,4656,3324,3643
WBGene00000566,15476,15527,2255,3550,2255,3509
WBGene00000567,24912,37986,7147,25482,11429,6384
WBGene00000583,1796,1056,338,241,284,51
WBGene00000584,2236,8321,384,774,287,37
WBGene00000585,5707,2510,1089,3343,2310,1654
WBGene00000591,22694,13991,4487,2631,1485,2194
WBGene00000592,501,622,152,3038,935,1356
WBGene00000593,3,10,1,17801,18,2
WBGene00000594,13,489,47,145,429,1
WBGene00000596,1,4,5,7,6,65
WBGene00000597,16,167,12,232,67,44368
WBGene00000598,15,28,3,10,0,1
WBGene00000599,206,32111,14513,2735,35687,321
WBGene00000601,0,126,545,97,2418,221
WBGene00000602,2,49,351,62,2263,164
WBGene00000603,249,467,2704,1574,4566,287
WBGene00000606,0,31,57452,248,12147,145
WBGene00000608,9,43,18,172,94,61932
WBGene00000609,5,11,24,148,119,71952
WBGene00000610,23,9,91,736,20,4
WBGene00000611,458,3330,1820,899,643,334
WBGene00000612,7,23,6,1015,13,3
WBGene00000613,44,16,24,9411,65,5
WBGene00000614,12,12,1,15522,11,0
WBGene00000615,28,84,96,167,16408,651
WBGene00000616,70,36438,1611,335,11104,1064
WBGene00000617,9,6,1,12479,4,10
WBGene00000618,50,210,37581,184,4582,27
WBGene00000620,45,2,13,9810,126,75
WBGene00000621,2,55,3,1241,1,0
WBGene00000622,7,20,9,904,9,16
WBGene00000623,56,11,1909,30,742,2
WBGene00000624,34,14,176,21,159,1
WBGene00000625,315,210,2443,1413,4144,344
WBGene00000626,0,69,7,6,1615,168
WBGene00000627,8,27,4,6236,6,1
WBGene00000628,7,24,2,12035,10,0
WBGene00000629,8,998,12,9,8,0
WBGene00000630,176,860,62,64,87,46
WBGene00000631,17,32,1601,22,1502,0
